0,1,2,3,4,5,6,7,label
95.25,190.25,964.5,104.25,-52.25,-290.25,-889.0,1468.75,0
-147.75,144.5,293.5,49.25,-26.75,-129.0,-755.5,1592.5,0
-129.75,68.75,-649.0,-6.75,-158.75,484.0,-817.0,1667.25,0
-182.0,54.75,-833.0,-143.5,-212.0,618.25,-1007.25,1709.75,0
-450.25,84.25,-882.5,-276.0,-226.75,335.75,-1168.25,1717.25,0
-750.25,83.25,-1007.25,-247.5,-209.0,60.0,-673.5,1738.5,0
-661.0,63.75,-1151.25,-153.5,613.5,-635.5,-379.5,1729.75,0
-272.25,42.0,-1247.75,-151.75,1470.0,-787.0,-339.75,1728.5,0
63.5,17.0,-517.0,-150.0,1702.25,-499.25,143.5,1731.75,0
269.25,-58.0,298.5,-106.75,1620.75,-378.0,704.5,1707.25,0
333.75,-110.25,876.25,5.75,1519.25,-423.25,507.75,1675.0,0
232.0,-125.75,753.5,-14.75,1325.0,-225.5,118.75,1635.5,0
71.0,-130.75,139.75,-130.5,1159.5,-5.5,391.5,1580.75,0
87.0,-115.75,-461.0,-157.75,1418.75,174.75,755.25,1512.0,0
47.25,-92.0,-996.5,-171.5,1172.25,255.25,300.75,1466.0,0
25.5,-50.75,-556.5,-233.75,676.75,355.0,-374.0,1311.25,0
-24.5,5.75,240.25,-330.25,480.0,396.25,-484.75,1061.75,0
86.75,36.5,1135.5,-124.0,239.75,297.5,-121.25,877.75,0
162.5,17.0,1293.0,114.75,158.25,415.5,95.25,717.0,0
140.75,-19.5,756.75,60.25,782.75,595.5,-231.75,435.5,0
320.0,-27.0,708.25,79.0,1477.5,609.5,-561.5,88.75,0
345.0,-31.0,514.0,228.75,1684.0,575.5,-745.5,-125.5,0
294.25,-53.0,447.5,310.25,2039.25,677.25,-763.5,-156.0,0
-51.75,-48.25,-90.0,230.25,2104.5,760.5,-683.0,-296.25,0
-500.25,-25.0,-737.75,190.0,2073.25,881.25,-896.25,-499.5,0
-554.25,1.5,-1026.5,172.0,1714.5,1018.5,-1040.25,-585.0,0
-312.25,33.5,-1114.75,-37.25,710.5,1121.75,-1080.0,-806.75,0
153.0,46.75,-1041.5,-179.75,264.0,1167.25,-1097.25,-1004.25,0
792.5,67.5,-698.0,-162.25,240.0,1143.0,-1075.5,-1153.0,0
