0,1,2,3,4,5,6,7,label
-112.5,-187.75,363.5,-169.5,2262.0,420.75,-197.25,1145.5,1
-578.5,-456.5,382.75,-138.5,2334.5,847.0,-187.25,1027.5,1
-423.25,-493.5,181.25,-37.5,2210.25,87.75,223.75,1045.25,1
-383.5,-420.25,100.75,12.5,1947.0,-850.75,194.5,889.75,1
-276.75,-381.75,-4.5,91.0,1657.25,-981.25,-61.0,593.5,1
-202.5,-337.0,0.25,190.25,1340.75,-1055.75,-170.25,650.0,1
-335.0,-259.5,12.25,251.75,835.25,-1138.75,-678.25,680.75,1
-375.25,-403.0,-83.75,270.25,798.5,-938.0,-743.5,593.75,1
-504.5,-564.5,-114.5,380.75,590.0,-1037.25,-1188.0,497.5,1
-526.25,-469.0,-233.25,510.25,294.25,-744.25,-1886.0,479.25,1
-558.25,-343.0,-484.75,545.0,251.0,-348.75,-2275.75,537.0,1
-565.25,-272.25,-802.5,562.75,297.75,-51.75,-2627.0,548.5,1
-484.75,-231.75,-669.5,566.5,362.25,511.25,-2435.5,480.0,1
-392.25,-239.0,-295.5,573.25,-711.25,934.75,-1893.5,293.25,1
-296.25,-216.25,-111.5,565.25,-1446.75,1021.5,-1437.0,252.25,1
-233.0,-199.75,38.5,557.5,-1447.25,941.25,-1256.25,340.25,1
-138.25,-192.75,162.25,540.25,-1452.75,945.25,-978.75,346.5,1
-78.0,-191.5,305.75,509.75,-1423.75,649.5,-567.5,392.75,1
10.5,-155.0,293.0,475.0,-1481.75,398.5,156.5,437.0,1
106.0,-102.25,286.75,429.25,-1481.0,272.5,963.25,512.0,1
171.0,-112.0,368.75,385.75,-1451.0,107.75,1157.5,615.5,1
150.0,-120.5,504.75,341.25,-1426.0,-16.0,1213.5,613.5,1
82.25,-230.0,773.75,361.0,-1387.25,94.25,972.0,1048.75,1
-204.5,-510.5,988.5,520.75,-1496.0,543.0,317.0,1400.25,1
-545.75,-413.5,1286.0,584.75,-1607.25,530.5,-628.5,714.75,1
