0,1,2,3,4,5,6,7,label
-4.0,-1112.75,-57.25,701.0,1677.75,-579.25,1362.25,-909.75,2
15.0,-916.25,-228.75,843.0,1307.5,-648.75,1634.5,-1033.0,2
40.25,-644.5,-151.0,958.0,987.25,-738.25,1179.25,-1064.75,2
-23.75,-290.5,-235.0,907.0,686.25,-804.75,700.75,-1206.25,2
-119.75,39.0,-267.0,848.25,177.25,-725.0,367.25,-1326.25,2
-341.0,379.75,-530.75,762.0,-482.75,-502.25,320.75,-1472.75,2
-538.25,596.0,-1086.5,764.25,-350.5,-453.5,234.0,-1362.25,2
-500.5,617.5,-1726.0,808.0,-102.0,-395.5,146.5,-1391.75,2
-402.75,568.0,-2289.5,867.5,110.5,-264.75,1.25,-1635.0,2
-412.5,459.75,-2698.75,876.25,-193.5,-214.25,-287.0,-1657.0,2
-455.75,404.5,-2664.5,810.25,-630.0,-200.75,-250.75,-1612.75,2
-377.25,307.25,-2120.25,882.5,-1049.5,-241.25,-365.5,-1652.5,2
-274.0,261.25,-1504.0,917.5,-1647.5,-288.0,-303.5,-1705.5,2
-103.0,253.5,-963.25,788.75,-1951.25,-177.0,-306.75,-1862.75,2
-114.75,245.0,-582.25,692.75,-1981.0,137.25,-270.0,-1916.25,2
-294.5,242.0,-328.25,718.75,-1807.25,464.75,-134.25,-1732.5,2
-275.5,234.75,-251.5,809.0,-1583.0,687.75,-1024.5,-1550.75,2
-229.25,238.5,-579.25,848.5,-1403.25,781.75,-1322.25,-1323.75,2
-185.5,238.75,-1086.25,716.5,-1660.0,742.0,-1795.25,-992.0,2
-248.0,230.0,-1617.0,692.75,-1827.0,647.5,-2210.0,-688.5,2
-496.5,170.25,-2021.75,700.5,-1823.25,522.0,-1894.0,-443.25,2
-574.5,107.25,-1747.75,607.0,-1829.75,483.5,-1002.75,-21.0,2
-625.0,24.0,-747.25,418.75,-1572.0,429.0,-525.75,333.0,2
-820.75,-56.75,-18.25,159.0,-1461.75,340.75,-111.5,401.5,2
-917.75,-110.0,416.0,-140.75,-1415.75,-11.0,42.5,500.0,2
-777.75,-115.0,430.25,-226.25,-1289.25,-308.0,522.5,618.25,2
-466.5,-69.0,-301.5,-226.0,-1154.25,-539.75,737.5,610.25,2
-273.75,-16.75,-1159.25,-447.75,-1038.5,-629.5,559.25,678.5,2
-392.5,47.0,-1201.0,-528.5,-927.25,-746.5,493.0,656.0,2
-491.5,61.0,-1286.5,-674.5,-874.75,-756.25,303.0,501.5,2
-207.25,43.75,-431.75,-806.5,-824.25,-752.75,257.25,412.0,2
75.5,-4.0,1561.75,-740.0,-791.0,-792.0,334.0,393.25,2
320.0,-73.75,2322.25,-777.75,-526.5,-917.0,287.5,422.25,2
383.5,-113.0,2241.75,-801.75,-99.5,-1034.5,283.0,390.5,2
354.5,-171.75,1815.75,-595.25,57.25,-1021.5,303.25,330.5,2
422.0,-201.75,1659.25,-337.0,211.0,-948.0,546.0,334.5,2
398.25,-232.75,1649.5,-208.75,-10.5,-881.25,428.0,331.0,2
564.25,-284.25,1997.25,53.75,-497.5,-687.25,452.75,348.75,2
678.5,-355.25,2240.25,106.0,-618.5,-412.25,923.0,416.0,2
582.0,-403.25,2284.25,85.5,-775.25,-58.0,1314.5,433.0,2
374.5,-370.25,2068.5,273.5,-1041.75,248.25,1402.5,473.5,2
219.0,-405.0,1761.25,293.75,-886.75,556.25,1449.5,607.25,2
215.75,-672.5,1499.25,168.0,-302.75,933.75,1282.0,829.0,2
13.75,-869.25,1353.75,433.0,-90.0,1287.5,695.0,931.75,2
-315.5,-773.5,1063.25,1053.5,-118.75,1536.75,99.0,757.75,2
-271.25,-646.0,1173.0,746.5,-97.5,1598.5,-458.75,207.5,2
-240.25,-571.25,697.25,222.75,174.5,1545.0,-591.5,-195.75,2
-290.0,-527.0,-121.75,144.0,422.0,1434.5,-589.0,-146.5,2
96.75,-494.25,-551.25,-17.5,301.5,1171.25,-660.0,63.75,2
242.75,-392.0,-576.25,-202.0,-293.75,879.25,-1041.75,161.5,2
-188.75,-281.0,-674.25,-177.75,-787.5,646.25,-1095.5,423.0,2
-74.0,-153.5,-620.5,196.25,-1159.75,314.75,-949.25,244.75,2
-25.75,18.25,-603.25,562.75,-1368.0,-4.0,-814.0,314.0,2
-185.0,195.5,-669.75,345.5,-1552.25,-178.75,-774.75,254.5,2
-276.0,294.0,-89.25,-64.25,-1678.25,-252.75,-964.0,190.75,2
-70.5,282.75,29.0,-845.25,-1654.0,-307.25,-855.0,245.75,2
268.75,285.5,-93.75,-1405.0,-1782.5,-307.75,-449.5,287.0,2
213.75,272.5,-509.75,-1389.25,-1842.75,-228.5,-174.0,315.5,2
278.0,276.75,-1148.75,-1160.75,-1832.25,-145.25,-349.5,386.5,2
-7.5,277.75,-1341.5,-956.75,-1897.75,-127.5,-600.5,495.5,2
-277.0,294.0,-1406.75,-1173.75,-1999.75,-54.5,-761.5,288.25,2
1.5,318.0,-1451.5,-883.0,-1015.75,100.5,-739.0,208.5,2
266.5,289.0,-1455.0,-530.25,201.5,380.75,-595.5,119.0,2
416.75,305.25,-1406.0,-533.75,320.75,687.5,-551.5,28.25,2
687.0,405.75,-1269.75,-292.25,413.0,692.25,-553.0,-87.75,2
1013.75,479.25,-1187.25,521.0,402.25,773.25,-604.0,-278.0,2
652.25,444.0,-1208.75,544.5,331.5,765.25,-617.0,-317.75,2
195.0,423.75,-1295.0,544.0,340.0,668.5,-361.0,-176.75,2
471.5,615.0,-1585.75,361.25,432.0,425.5,390.75,194.5,2
832.5,794.75,-1860.5,-7.75,693.25,517.75,710.25,-132.75,2
34.75,-50.5,-1364.5,541.0,1623.75,1449.5,370.5,-1331.0,2
-856.0,-874.0,-493.0,1168.5,1604.0,1252.25,598.75,-1340.25,2
-703.75,-863.0,-521.25,1147.5,1549.75,714.5,856.5,-957.25,2
-597.75,-650.75,-245.25,653.25,1752.0,466.5,703.25,-1054.0,2
-737.25,-726.5,30.5,-219.0,1465.5,129.75,723.5,-964.0,2
-244.5,-356.0,-75.75,-698.75,1060.25,-257.75,697.75,-863.25,2
-354.5,-380.25,-43.75,-676.25,885.0,-510.25,689.25,-843.25,2
-142.25,-170.75,-231.25,-934.75,521.0,-992.25,822.25,-722.0,2
-13.25,-142.0,-651.25,-937.25,441.25,-975.5,749.75,-534.25,2
-25.75,12.5,-720.0,-1086.25,147.75,-1088.75,788.75,36.25,2
-98.0,142.25,-781.25,-1080.0,18.75,-1083.5,783.25,465.75,2
-249.75,210.5,-697.25,-1144.5,-182.5,-1140.75,829.25,920.0,2
-555.25,307.0,-224.5,-537.25,-525.0,-1146.75,976.0,1089.5,2
-610.25,261.25,17.0,-346.75,-620.0,-1170.5,1014.0,1043.5,2
0.5,280.25,-126.75,-782.0,-636.0,-1198.0,959.5,754.0,2
305.25,247.5,535.75,-609.75,-620.5,-1161.5,853.5,571.0,2
506.25,263.5,1295.5,-62.75,-902.25,-1199.0,806.0,642.5,2
750.75,200.0,816.25,244.5,-1198.5,-1223.0,835.25,537.25,2
1051.5,151.75,738.5,219.25,-1500.75,-1074.75,896.75,517.5,2
1183.5,108.75,728.0,238.75,-1425.25,-885.0,961.5,521.5,2
853.0,108.25,538.25,133.25,-1252.75,-820.75,912.25,460.5,2
582.25,130.75,582.75,-115.25,-973.0,-632.5,714.5,349.75,2
203.5,195.0,709.0,-639.5,-484.0,-424.25,670.5,340.5,2
-134.0,440.75,532.75,-1183.0,-73.0,-474.75,988.0,589.5,2
226.0,793.5,-187.5,-984.25,-150.5,-452.25,1000.0,324.5,2
322.0,763.0,-209.5,-782.25,-253.5,-200.0,863.75,-466.0,2
331.0,710.5,-184.25,-732.25,-218.25,15.25,767.5,-959.25,2
268.0,653.0,82.75,-214.0,-192.75,150.75,594.75,-858.25,2
209.5,424.75,1069.25,414.0,-116.75,471.5,346.5,-784.75,2
277.75,302.5,1311.5,631.0,-10.75,576.0,201.75,-701.75,2
486.0,204.0,671.5,528.75,92.25,864.5,-43.75,121.5,2
737.75,125.5,115.5,370.5,114.25,975.25,-161.75,899.0,2
605.75,114.0,-775.75,166.25,-103.75,1079.5,-392.0,1419.75,2
160.75,74.5,-1374.0,-959.5,-318.5,1219.25,-442.5,1569.25,2
343.5,124.0,-1549.75,-984.0,-207.75,1283.0,-368.25,1619.75,2
422.0,58.75,-1522.5,-836.25,1623.75,1234.25,-307.25,1614.75,2
264.75,107.0,-1332.5,-145.25,2147.25,1044.75,-357.0,1350.25,2
234.75,276.75,-1432.5,260.25,2009.25,949.5,-492.25,851.75,2
-280.0,308.75,-996.75,440.25,1757.0,1076.75,-643.5,29.75,2
-1582.0,-235.25,-446.5,724.25,1942.75,1316.75,-697.5,-100.25,2
-1947.25,-447.0,-232.25,1345.5,1653.75,1294.75,-575.25,220.75,2
-1288.5,-569.5,-146.75,1821.75,1033.25,868.5,-414.25,456.0,2
-1038.75,-737.25,238.75,1704.5,712.0,703.0,-111.25,517.25,2
-1232.25,-475.25,452.5,984.75,51.25,384.25,308.75,447.5,2
-937.75,-303.0,821.25,-16.25,-766.75,-102.5,719.75,379.75,2
-1038.75,-237.0,1479.75,-200.75,-1027.5,-250.5,1296.25,433.5,2
-814.0,-14.25,1681.75,-1.0,-781.5,-105.0,1525.0,545.75,2
-553.75,118.25,1334.75,147.0,118.75,-42.0,1361.0,673.0,2
-162.25,255.0,1106.25,123.5,880.75,-49.25,1112.25,413.0,2
105.0,152.0,987.25,121.75,863.0,167.25,1047.75,218.5,2
668.5,91.0,346.0,-232.25,355.5,489.25,1046.75,207.0,2
1616.5,62.5,-19.25,-1074.5,-207.0,535.5,1044.5,-123.75,2
1899.5,288.0,-439.0,-1170.0,-293.5,479.75,1328.0,-497.75,2
1374.5,756.75,-655.5,-329.0,-247.25,334.0,1529.25,-1006.0,2
985.5,1043.25,-491.25,53.75,-201.5,395.5,1370.25,-1323.0,2
983.5,1058.5,-529.5,188.0,149.75,679.0,1260.5,-1262.25,2
129.25,520.0,-515.25,1184.75,1031.75,1037.5,879.0,-1218.25,2
-1172.25,-611.75,-448.25,1990.75,1103.0,1516.5,312.75,-1122.5,2
-1342.0,-971.25,-570.5,1352.5,661.25,1551.5,-15.25,-1038.0,2
-1072.0,-668.0,-846.25,136.0,-433.75,1430.75,-375.0,-784.25,2
-983.75,-452.75,-562.5,-177.75,-1160.75,1371.0,-518.0,-752.75,2
-775.75,-328.75,-246.0,-274.5,-1322.5,1131.25,-255.25,-963.75,2
-574.75,-294.75,303.25,-29.5,-1480.0,939.25,42.5,-950.25,2
-305.0,-416.5,1176.25,921.0,-2204.75,650.5,324.0,-750.75,2
702.25,-160.25,1170.75,1025.0,-2613.5,329.0,267.5,-1197.25,2
995.0,-55.5,694.75,487.5,-2637.5,138.0,49.75,-1765.25,2
1522.25,-229.75,403.25,-365.25,-2793.0,-167.0,54.75,-1087.5,2
1726.0,-240.25,216.25,-833.5,-2851.0,-543.25,-84.75,126.0,2
1187.5,-322.75,24.75,-984.0,-2852.0,-701.0,15.25,800.75,2
510.5,-377.0,450.0,-1144.5,-2883.75,-745.5,124.5,897.75,2
346.0,-191.5,956.5,-1381.0,-2517.5,-697.25,34.75,463.25,2
-140.75,117.5,745.5,-1262.25,-197.5,-791.5,73.25,-53.0,2
-674.25,367.75,473.0,-1055.5,1337.5,-795.5,-288.25,-544.75,2
-650.0,849.0,237.25,-1049.5,2433.75,-839.0,-903.5,-476.0,2
-697.25,1081.0,378.0,-1047.5,2487.5,-778.25,-1019.5,-66.5,2
-597.75,1117.0,647.5,-235.25,2556.25,-801.5,-816.25,78.5,2
-714.75,1169.25,-62.5,500.25,3001.5,-1195.0,-558.0,99.75,2
-1037.0,914.75,-758.0,969.75,2695.25,-1684.5,-446.0,186.75,2
-1166.25,235.5,-871.25,1143.25,2247.0,-1700.0,-371.75,7.0,2
-1100.5,-468.0,-1252.0,1167.25,2141.5,-1388.0,-343.75,-1208.25,2
-1017.5,-919.5,-1305.75,1189.25,2032.75,-1032.25,-297.0,-1491.75,2
-872.25,-913.25,-1516.25,1227.0,2092.75,-629.0,-269.5,-1376.0,2
-799.75,-888.25,-1754.0,1128.75,2242.5,-547.0,-417.25,-1003.5,2
-479.5,-889.75,-1455.0,853.5,2276.75,-252.75,-551.5,-718.25,2
