0,1,2,3,4,5,6,7,label
-13.5,-53.75,153.5,60.0,158.75,-274.0,-13.25,-323.75,3
-25.0,-74.0,843.5,-58.5,163.25,19.5,-62.75,373.5,3
-61.0,-95.75,765.5,-104.75,134.25,60.75,-98.0,740.75,3
-184.75,-96.75,619.5,-49.5,105.0,-117.25,-128.25,493.25,3
-225.25,-90.75,228.5,-80.0,168.5,-31.5,-190.75,9.0,3
-209.5,-100.5,65.0,-109.0,288.5,-8.5,-233.25,-508.0,3
-218.0,-105.25,33.5,-130.25,383.75,-86.25,-235.5,-542.75,3
-317.5,-98.5,-31.0,-135.25,386.25,-164.5,-321.5,-565.5,3
-283.25,-112.25,-774.0,-92.75,333.0,-588.25,-347.25,-640.5,3
-110.75,-112.0,-1047.5,-92.0,272.5,-813.25,-364.0,-760.25,3
-58.25,-125.25,-859.75,-77.25,125.75,-409.5,-388.5,-858.25,3
-101.25,-132.25,382.75,-80.5,-29.5,-121.5,-370.75,-1047.25,3
-143.25,-74.75,814.5,-118.0,-29.25,111.0,-248.5,-1326.75,3
-117.25,-8.5,717.5,-39.0,25.75,402.0,-165.5,-1515.0,3
-94.0,111.0,521.5,21.25,37.75,455.25,-178.5,-1483.0,3
56.0,170.5,343.25,74.25,-59.25,602.5,-137.25,-1248.0,3
241.5,69.0,241.25,79.0,-168.25,540.5,-43.25,-1157.75,3
331.5,-53.0,187.0,76.75,-276.5,365.5,60.25,-1108.0,3
426.5,-120.0,334.25,94.75,-440.25,273.0,33.25,-1021.75,3
395.75,-146.75,251.25,78.25,-543.5,149.75,-1.75,-1065.0,3
344.75,-166.25,-378.0,124.25,-582.75,227.5,-149.75,-1026.5,3
174.25,-150.25,-464.25,30.5,-600.75,-2.75,-305.25,-856.75,3
55.25,-99.0,-160.0,-132.0,-632.5,-503.0,-370.25,-764.75,3
101.0,-100.25,-207.75,-186.5,-658.5,-493.75,-383.75,-763.25,3
17.5,-65.25,-126.25,-248.5,-645.0,-306.75,-323.5,-857.5,3
-129.25,-8.75,-144.25,-298.75,-637.0,-344.5,-333.75,-933.75,3
-102.25,-22.25,-160.75,-203.0,-609.75,-199.75,-244.75,-849.75,3
61.5,-8.75,-134.0,-109.5,-585.5,-101.25,-137.5,1100.25,3
-19.5,43.25,-151.75,-15.0,-512.75,50.75,-49.5,1336.5,3
35.25,28.75,-56.0,74.75,-349.0,421.75,10.75,1391.25,3
119.75,-6.75,3.75,104.0,-231.0,944.5,-42.75,215.25,3
56.0,9.0,53.25,114.25,-343.75,1096.75,-49.75,-739.25,3
73.75,23.25,44.0,88.25,-576.0,1156.0,-83.25,-930.5,3
30.75,51.5,68.0,115.5,-607.25,1214.0,-228.75,-1052.5,3
172.0,106.5,81.0,119.0,-524.75,1081.75,-544.0,-1102.5,3
282.5,194.0,84.5,126.5,-527.75,161.5,-508.0,-1071.75,3
198.25,345.0,44.5,116.0,-457.0,-698.25,82.0,3.5,3
7.75,443.25,45.75,102.0,-343.0,-828.5,539.25,227.5,3
-158.75,407.75,81.0,143.25,-336.25,-842.5,876.0,59.5,3
-251.0,227.75,72.25,103.0,-234.25,-439.75,948.75,133.75,3
-369.5,116.25,93.75,79.5,-58.0,-124.5,785.0,-51.25,3
-367.0,118.75,64.0,159.75,-165.5,-183.0,687.0,10.0,3
-239.75,192.0,40.0,142.75,-376.25,-203.75,445.0,23.0,3
-118.25,184.75,19.5,27.75,-347.5,-224.25,296.75,226.25,3
20.0,-69.0,13.5,48.25,-265.5,-78.75,142.5,456.5,3
82.25,-326.25,23.25,118.0,-169.0,168.0,-32.75,622.0,3
-24.0,-515.0,46.75,190.75,26.0,177.0,5.25,577.5,3
-52.0,-660.25,63.5,200.0,196.75,347.75,210.0,560.25,3
15.75,-640.0,50.5,126.5,287.25,332.25,364.0,585.25,3
133.0,-312.25,38.0,53.0,245.5,403.0,361.75,623.25,3
239.0,-41.75,47.25,0.75,225.25,507.25,424.75,698.0,3
234.25,39.5,81.0,-103.5,230.75,661.0,416.75,730.0,3
155.5,126.0,-3.75,-187.25,242.5,820.25,431.0,567.0,3
62.5,100.0,-100.5,-214.25,129.25,925.0,273.5,543.0,3
10.5,89.25,-95.75,-312.5,-104.5,1027.75,-41.75,1036.0,3
-98.5,109.75,-90.0,-310.75,-82.0,845.75,-315.5,1060.0,3
-351.25,112.0,-39.0,-259.5,-78.5,171.0,-523.75,1100.75,3
-625.25,101.25,2.5,-347.0,-313.5,-822.0,-810.5,1131.75,3
-583.25,56.75,-8.25,-535.25,-466.25,-1104.5,-885.5,1150.0,3
-346.25,67.75,-34.0,-434.5,-321.0,-1027.5,-758.75,1148.0,3
-212.75,89.5,-70.5,-187.75,-173.75,-913.0,-577.25,1137.75,3
-71.75,59.5,-83.5,-163.5,-164.5,-115.75,-387.5,1095.25,3
113.25,38.75,-154.0,-225.5,-242.25,273.5,-274.5,1040.0,3
222.5,26.25,-239.75,-53.5,-256.75,597.0,-296.25,1074.5,3
205.25,20.25,-174.75,315.5,-125.5,605.0,-150.5,1173.25,3
159.0,69.5,-136.75,431.25,-11.5,514.25,-254.5,1237.75,3
37.75,213.0,-179.25,523.5,123.75,450.25,-686.75,1189.25,3
-143.25,411.5,-138.0,560.25,235.0,282.0,-1035.25,1107.0,3
-221.5,771.75,-50.5,536.25,385.0,222.25,-718.5,1140.0,3
-289.5,991.0,88.0,377.25,507.0,136.75,-80.75,1176.5,3
-36.75,638.25,237.75,123.0,526.5,134.75,507.5,1128.25,3
341.25,-236.25,329.75,38.75,515.75,130.75,921.5,1023.25,3
562.75,-583.0,420.0,-81.75,492.25,318.0,869.0,885.0,3
818.5,-478.25,382.75,-269.0,497.25,375.75,547.75,677.25,3
896.75,-513.25,191.5,-485.25,796.25,406.0,486.5,575.75,3
995.5,-766.75,8.25,-346.0,1056.75,227.75,578.25,471.25,3
1256.5,-718.25,-144.0,-180.5,978.25,78.5,761.25,381.0,3
1263.0,-520.25,-265.75,-151.75,909.25,183.5,901.0,298.0,3
1000.0,-376.25,-274.75,-79.0,865.5,130.75,663.75,224.25,3
355.75,-252.0,-169.75,-47.5,620.5,225.75,314.0,164.0,3
233.25,-80.0,-117.5,201.0,286.75,125.25,325.75,186.75,3
-230.25,106.25,-57.0,502.75,161.75,98.25,575.25,129.25,3
-341.25,122.5,24.0,677.0,134.5,42.0,684.5,-3.5,3
-452.0,127.5,44.25,638.25,43.75,-52.0,593.25,-81.75,3
-615.0,104.5,45.75,641.5,-295.5,-60.25,574.5,-268.5,3
-870.5,82.75,4.25,805.5,-467.75,-77.0,597.0,-558.25,3
-1355.5,-60.0,-77.5,928.0,146.75,-16.5,1029.75,-852.25,3
-1714.5,-422.25,-110.0,971.75,1179.75,35.25,1409.5,-1033.0,3
-1389.25,-446.25,-116.75,695.5,1281.5,-17.25,1412.0,-1318.5,3
