0,1,2,3,4,5,6,7,label
802.75,64.5,72.0,-338.25,240.5,696.75,-942.75,-520.75,4
646.5,95.25,18.5,54.0,446.25,446.0,-996.75,-293.5,4
324.25,-121.25,1.5,264.0,292.25,212.0,-850.75,-269.25,4
408.25,-250.75,-43.5,68.0,-116.25,202.5,-682.5,-275.25,4
467.5,-298.0,-130.25,-201.25,-182.0,467.5,-646.75,-270.0,4
249.25,-206.25,-124.25,-301.75,51.75,561.5,-358.75,-219.75,4
-203.25,-306.0,-143.25,-16.75,495.0,703.5,215.25,-142.5,4
-542.5,-321.5,-131.75,183.5,-434.5,1281.75,671.5,-168.0,4
-308.75,-166.0,1.5,183.0,-1749.25,2066.5,1102.25,-611.5,4
-261.5,-195.5,48.75,146.25,-1704.5,2380.25,1509.75,-56.0,4
-114.75,-35.0,6.0,29.75,-1821.75,2491.75,2001.0,-363.0,4
-16.25,320.25,-9.75,132.0,-1797.0,2186.25,2231.0,-778.0,4
184.25,465.5,-22.5,-86.25,-2246.5,1889.0,2658.75,-70.25,4
510.5,442.0,-6.5,-324.25,-1026.75,2331.75,2870.5,113.25,4
387.5,504.5,220.0,-619.75,-574.75,2472.25,2916.25,360.75,4
315.75,774.5,530.0,-1079.75,-513.0,2279.0,2792.5,56.5,4
168.25,792.5,814.0,-1548.5,-320.5,2203.5,2250.5,-90.25,4
155.75,690.75,910.75,-1491.0,-318.75,2351.25,2064.0,-118.0,4
-225.5,472.25,839.5,-1048.25,285.0,1995.25,1976.75,203.5,4
-977.5,302.75,703.5,-494.25,40.25,1109.5,2066.0,1207.0,4
-1165.0,396.0,599.75,96.25,-166.5,176.5,1499.0,1507.75,4
-1261.5,397.0,532.5,297.25,243.5,-777.25,-311.5,1347.25,4
-1454.5,-4.75,405.75,836.5,692.25,-615.25,-1501.75,1687.5,4
-1807.75,-950.5,-208.25,1661.75,870.5,-118.0,-2004.25,1742.25,4
-1828.0,-1110.0,-1009.25,1601.25,773.25,-43.0,-1963.0,1292.5,4
-1538.5,-898.0,-959.75,1174.5,640.5,-111.25,-1787.25,966.75,4
-1309.75,-907.0,-653.0,881.75,628.75,-348.75,-2005.25,771.25,4
-833.0,-768.0,-752.25,598.25,997.25,-231.5,66.5,357.75,4
-230.75,-571.25,-336.25,206.5,2520.75,221.5,-355.0,474.25,4
170.75,-532.25,-398.75,33.75,2384.0,557.75,-753.0,690.0,4
821.0,-297.25,-257.5,-103.75,2288.25,396.0,-395.0,672.75,4
1047.5,-237.5,-147.75,57.75,2263.25,-36.25,-1491.75,776.75,4
1074.0,-182.25,-104.5,96.5,2170.0,-953.75,-1074.5,863.5,4
1126.25,-271.5,5.75,462.5,2133.0,-1533.25,-1074.5,834.0,4
1191.5,-188.75,-83.0,517.75,1956.0,-1728.0,-732.0,89.75,4
1536.5,-80.5,56.5,150.0,1523.25,-1820.25,547.75,-1447.0,4
2084.75,609.0,691.25,-428.75,1076.25,-1386.5,1258.0,-1765.5,4
2156.5,917.75,782.5,-568.25,1226.25,-184.25,39.5,-1590.0,4
