0,1,2,3,4,5,6,7,label
-1212.5,-665.5,-180.75,199.25,555.75,1454.5,612.5,236.0,5
1380.0,-522.25,-931.0,-125.75,652.5,1536.25,660.5,727.75,5
1672.25,-429.75,-1738.75,-288.0,732.25,1678.75,452.75,830.25,5
1624.25,-185.25,-2116.75,317.75,861.0,1593.25,158.25,1025.5,5
1287.0,-215.0,-1539.25,667.5,930.25,1252.75,-1144.75,903.0,5
906.25,-76.75,-287.5,942.25,765.0,734.75,-1200.5,698.0,5
169.75,40.75,-240.25,1063.75,517.25,97.5,-884.5,311.75,5
-1024.5,-29.5,-149.5,960.0,232.0,-381.75,-446.5,82.25,5
-1126.75,-46.25,-101.75,855.0,194.5,-593.75,67.25,38.0,5
-454.5,-219.0,287.25,364.0,168.75,-787.25,45.0,-105.0,5
-509.0,-115.5,1303.25,-321.75,-85.75,-845.25,2.25,137.0,5
-213.25,101.75,2015.25,-563.5,-322.75,-868.5,-38.0,286.0,5
-187.5,464.25,2083.75,-466.75,-712.75,-885.0,169.0,-118.25,5
-446.5,705.0,2125.5,-390.5,-1064.25,-931.75,246.75,-501.75,5
-1354.0,368.5,2041.5,63.5,-645.75,-896.0,-23.5,-328.75,5
-1627.0,-658.25,705.25,886.25,369.25,-178.0,-522.5,408.25,5
-1239.5,-1238.75,-779.75,1154.75,264.75,-27.5,-115.5,507.5,5
-1548.0,-979.0,-1061.0,1019.5,-54.75,-509.25,422.0,123.5,5
-1568.25,-457.25,-1123.5,564.5,-162.75,-1002.0,135.75,146.5,5
-1371.5,-288.5,-1158.25,392.75,-602.5,-1104.75,87.75,-74.5,5
-1181.0,240.75,-1191.5,-195.0,-744.5,-1178.25,63.0,-182.0,5
-350.0,462.5,-1426.25,-802.75,-992.0,-1186.75,107.0,-221.75,5
1209.0,798.0,-1518.75,-1464.0,-1473.25,-1322.75,384.0,-416.75,5
1247.0,781.25,-1354.25,-1400.5,-2019.25,-1215.5,871.25,-510.25,5
934.75,758.75,-691.0,-1319.5,-2020.5,185.75,1179.75,-474.25,5
424.5,615.75,607.75,-1183.25,-1767.75,165.25,1169.25,-452.25,5
-38.0,476.5,1203.75,-719.5,-1819.0,-536.75,1171.5,-489.25,5
-158.75,403.75,1008.25,-494.0,-1535.25,-724.0,1414.0,-274.25,5
-27.0,335.25,1060.75,-409.5,-1373.25,-959.75,1191.0,-220.75,5
247.5,324.0,1258.5,-425.5,-1371.0,-901.5,-366.5,-235.5,5
561.75,225.0,1462.5,173.5,-1626.0,-802.75,-1177.5,-517.75,5
614.0,406.0,1512.75,767.75,-1838.25,-81.5,-1211.25,-860.25,5
84.5,309.75,1268.0,834.5,-1542.0,591.25,-1195.0,-829.0,5
-57.75,256.0,844.25,812.5,-1189.0,1052.0,-1053.75,-522.75,5
-554.0,143.25,430.5,768.0,-906.75,1200.25,-53.5,-289.75,5
-1128.0,159.75,180.5,332.0,-815.25,1153.75,727.5,-68.25,5
-1412.5,73.25,-213.25,210.5,-701.75,1085.0,912.5,105.75,5
-1596.75,-104.25,-416.5,600.5,-591.75,1040.5,832.5,100.25,5
-1786.5,-195.25,-672.0,348.5,-318.75,1012.75,831.75,340.5,5
-1565.25,-374.75,-694.25,-625.5,-163.75,1008.0,340.25,419.0,5
292.75,-455.25,-796.25,-532.25,-10.0,1016.75,428.25,312.25,5
2013.5,-528.25,-1231.75,695.0,110.25,790.5,160.0,378.5,5
2661.25,-542.75,-1878.5,893.5,52.5,875.5,293.25,630.5,5
2910.0,-608.5,-2487.0,207.75,-54.0,909.25,151.5,554.5,5
2319.75,-485.5,-1878.0,-207.0,-177.0,1002.75,102.5,328.5,5
1240.0,-278.0,-592.5,-72.25,-117.5,1092.75,33.25,228.0,5
474.0,-100.5,-619.25,46.5,145.75,1182.5,-112.0,33.0,5
521.75,62.0,-640.75,-186.5,223.0,1244.75,-143.25,-83.0,5
1382.25,109.75,-601.0,-225.75,144.0,1245.5,-358.5,-202.25,5
321.75,38.75,-475.25,-310.75,320.75,1255.25,-372.25,-97.75,5
159.75,-45.75,-582.25,-269.5,594.5,1268.0,-404.75,33.75,5
185.0,-74.75,-438.75,-140.5,949.25,1251.25,-290.75,5.25,5
-115.75,-206.75,-18.25,69.5,1163.25,1210.5,-284.25,1.25,5
-652.0,-363.75,168.0,202.25,1303.75,1267.75,-269.0,-31.5,5
-967.75,-486.5,43.25,240.0,1303.75,1320.75,-265.25,78.5,5
-1146.25,-431.0,-290.25,245.75,1195.75,1078.25,-172.5,177.0,5
-1658.5,-207.5,-465.5,251.25,1017.0,931.75,-60.25,243.75,5
-1700.75,-183.75,-1194.75,393.0,1003.75,879.25,-295.5,752.75,5
-1230.5,-399.25,-1924.5,600.0,842.0,651.75,-426.25,876.75,5
589.25,-440.0,-1811.75,884.5,654.25,392.75,-466.0,762.5,5
2036.25,-432.0,-1487.5,829.75,638.25,351.75,-459.0,889.0,5
2522.0,-500.75,-902.25,830.25,534.5,78.25,-512.75,850.75,5
2494.25,-460.0,-72.25,786.25,431.5,-527.5,-462.25,758.5,5
1849.5,-296.25,366.5,756.5,709.25,-626.5,-408.5,750.5,5
845.25,-20.25,1125.0,490.0,882.0,-595.0,-271.5,581.75,5
761.5,121.75,989.0,77.5,1247.5,-282.0,-215.0,569.5,5
340.5,167.75,869.25,134.5,1175.5,-67.5,-156.0,497.5,5
-652.75,293.5,995.0,60.25,847.75,-106.0,-18.5,371.0,5
-1095.0,449.5,810.25,-334.5,570.25,-218.75,143.5,70.5,5
