0,1,2,3,4,5,6,7,label
-443.5,238.0,-1013.0,230.5,1087.0,620.25,-601.25,23.0,6
-273.0,242.5,-1172.25,114.5,1631.25,426.75,-488.25,238.25,6
161.25,346.0,-1196.0,-41.25,1530.5,277.25,-440.75,566.75,6
322.0,435.25,-1323.5,-114.0,1169.5,140.5,-374.25,866.0,6
657.25,286.5,-1063.75,-183.25,1241.75,62.75,-315.75,668.25,6
894.25,23.75,-864.0,-230.5,1076.25,54.5,-281.75,644.75,6
804.75,-250.75,-626.0,-285.0,912.0,38.5,-280.0,529.5,6
24.75,-710.25,42.25,-251.75,709.0,87.5,-200.0,590.25,6
-423.0,-797.0,530.5,-221.5,851.5,142.5,-59.25,436.0,6
-391.0,-418.75,559.75,-288.5,6.5,113.75,-24.75,35.5,6
-311.25,-687.25,605.0,-322.75,-601.25,45.0,15.0,-59.5,6
-404.0,-767.0,680.0,-458.75,-1119.25,-0.25,41.75,-239.5,6
-337.75,48.75,669.0,-562.25,-1046.5,-23.0,46.5,-259.5,6
-359.25,446.75,540.75,-720.25,-659.25,-131.25,307.5,-44.0,6
-491.0,-161.0,91.25,-803.5,90.75,-250.5,257.75,358.0,6
-492.0,-519.5,-154.5,-745.5,651.0,-259.75,198.75,1021.75,6
-24.75,-78.75,-371.75,-685.0,1119.5,-275.5,189.75,1233.0,6
386.75,301.25,-639.25,-638.25,77.25,-322.25,21.0,1414.5,6
365.0,101.5,-807.5,-523.25,-817.0,-344.25,336.5,1484.0,6
669.25,180.0,-637.25,-383.25,-1079.0,-359.5,556.0,1624.25,6
838.5,745.5,-246.5,-365.75,-1217.75,-335.75,545.75,1727.5,6
615.25,966.0,114.75,-331.5,-1019.5,-308.75,632.25,1571.0,6
1147.5,908.0,218.0,-307.5,-685.5,-307.5,572.25,1303.0,6
1388.5,822.25,79.25,-261.25,-301.75,-291.25,506.0,848.5,6
1043.0,673.25,-40.25,-216.75,-463.25,-234.75,267.25,413.25,6
980.25,825.5,-149.75,-240.25,-996.0,-211.5,55.0,140.25,6
28.0,289.0,-271.5,-227.25,-1392.0,-178.75,-83.25,23.25,6
-1418.25,-646.75,-488.75,-223.25,-1965.0,-119.25,124.0,-243.75,6
-2016.5,-648.25,-661.5,-183.75,-2654.75,-63.25,550.25,-388.25,6
-1708.5,657.25,-644.75,-137.5,-2760.75,3.0,752.0,-402.25,6
-1213.0,1150.5,-532.25,-107.75,-2530.5,73.25,825.0,-415.75,6
-794.0,1144.25,-402.75,-50.5,-2517.75,126.25,739.25,-655.75,6
-285.25,1086.75,-299.0,-64.0,-3028.5,209.75,718.5,-824.5,6
-508.0,1072.5,-493.5,-87.5,-2516.0,284.0,602.5,-538.25,6
108.0,489.25,-673.25,-79.0,-1521.75,278.0,395.5,-226.75,6
1017.5,-615.0,-585.5,-28.75,-181.5,253.75,173.5,-95.75,6
1290.25,-778.75,-549.0,31.25,660.75,236.75,155.25,-224.25,6
1491.75,8.75,-353.0,9.25,1049.0,233.0,331.25,-488.5,6
781.75,-473.5,-127.25,24.5,556.25,287.5,281.5,-723.75,6
-198.25,-520.5,87.5,51.75,-579.25,336.5,410.5,-813.0,6
