0,1,2,3,4,5,6,7,label
-462.0,56.5,-301.5,-186.5,1383.25,100.25,-1523.75,-988.5,7
-545.5,79.75,-241.75,-62.5,1300.5,51.75,-1683.5,-1044.5,7
-628.25,179.0,-116.0,-196.25,1078.5,-37.0,-1738.0,-1093.75,7
-616.5,278.5,68.5,-230.25,1030.75,29.75,-1685.75,-790.25,7
-505.25,129.0,178.0,-282.0,1342.75,121.25,-1554.5,-594.75,7
-133.5,-100.0,275.5,-453.25,1519.5,167.0,-1344.5,-470.0,7
288.0,-203.5,398.25,-440.75,1341.25,129.75,-1294.0,-135.75,7
721.75,-349.75,440.0,-183.25,1302.0,175.5,-1041.0,89.0,7
773.25,-565.5,281.75,-8.25,974.75,82.75,-682.25,250.5,7
305.0,-574.25,13.5,-66.75,520.75,5.75,-653.5,323.5,7
-17.25,-405.75,-71.0,-68.25,330.25,33.0,-621.75,362.25,7
202.5,-146.5,-152.5,60.25,318.25,93.0,-655.25,505.25,7
166.25,-109.5,-491.75,212.75,326.25,148.0,-620.0,631.75,7
168.5,-46.5,-864.25,198.75,71.25,137.5,-574.5,580.5,7
481.0,19.0,-805.5,134.5,205.5,92.25,-462.5,420.0,7
925.75,147.5,-755.75,-59.25,141.0,55.5,-242.0,444.75,7
1378.5,249.75,-551.75,-95.0,575.75,210.75,-60.5,408.75,7
1212.75,225.5,-91.75,-46.25,841.5,492.5,228.5,318.25,7
883.25,282.0,260.25,56.5,723.5,782.75,486.5,267.25,7
666.25,337.75,496.75,-97.25,271.25,698.5,817.5,320.0,7
904.0,709.5,1122.0,-419.75,13.75,408.5,1097.75,388.0,7
755.5,530.25,1286.25,196.5,1061.0,945.5,606.0,120.25,7
-196.5,-760.0,887.25,1069.25,1371.5,1599.75,179.5,-3.25,7
-664.5,-792.25,883.0,1071.75,1165.0,1153.0,573.0,166.0,7
-825.25,-467.0,964.0,844.5,1125.0,592.75,680.25,164.25,7
-1122.75,-545.25,894.5,1012.25,885.5,199.5,700.75,160.0,7
-1042.0,-166.0,795.0,876.5,303.75,-123.5,322.5,171.75,7
-878.5,36.25,65.5,902.75,162.5,86.5,-305.25,209.25,7
-749.0,77.0,-443.5,681.5,-328.5,-99.25,-247.5,352.0,7
-953.5,-47.25,-633.75,536.0,-407.75,-39.25,310.0,509.5,7
-1209.75,-283.25,-739.25,556.25,-749.0,138.25,594.0,582.0,7
-1070.5,-103.75,-721.25,301.5,-878.5,207.0,549.0,453.25,7
-967.5,-82.0,-779.25,172.5,-1119.25,8.75,698.0,303.25,7
-1012.5,-181.25,-386.0,40.0,-1212.75,-81.5,439.25,150.25,7
-1049.0,-492.5,-177.25,202.25,-1143.75,101.75,452.75,150.25,7
