0,1,2,3,4,5,6,7,label
-635.75,149.25,481.5,-477.5,119.25,541.75,988.5,-969.0,8
-412.75,133.0,279.75,-325.5,-262.5,989.75,1089.75,-995.0,8
-254.75,247.5,47.5,-286.5,-86.5,1694.0,916.0,-398.5,8
-709.25,175.25,-72.0,-190.0,-266.25,1899.25,586.25,-54.0,8
-742.75,272.75,-232.75,-147.25,-59.5,1114.25,293.0,70.25,8
-705.5,60.0,-244.0,-20.25,139.5,266.0,0.25,-8.5,8
-603.25,-197.25,-202.25,34.75,190.25,-453.25,-230.5,179.5,8
-704.25,-1003.5,-70.25,460.75,384.5,-216.75,-459.25,525.25,8
-989.0,-1101.25,3.5,959.75,514.0,192.75,-608.0,-149.5,8
-891.0,-926.5,-151.0,758.5,581.25,439.75,-344.5,-911.75,8
-894.5,-1030.25,-150.75,426.0,208.75,534.25,-75.75,-1214.75,8
-873.0,-970.5,-58.25,426.25,111.0,562.75,-16.25,-1635.0,8
-744.75,-841.5,10.25,212.5,-167.0,623.0,86.0,-1448.0,8
-407.0,-653.5,197.0,-1.25,-686.25,853.25,-11.5,-1135.75,8
234.25,-465.25,211.5,-63.0,-898.0,806.75,-175.0,-873.25,8
506.5,-326.0,235.25,-15.25,-888.5,489.5,-301.75,-1143.5,8
468.75,-177.25,139.5,70.25,-789.5,137.25,-511.0,-1559.75,8
426.5,-119.25,-54.0,0.0,-922.75,-228.25,-775.0,-1698.25,8
443.5,-7.0,-37.25,-85.25,-722.0,-428.5,-996.5,-1913.75,8
629.0,57.0,-67.25,-225.0,-648.75,-261.25,-1240.75,-1860.0,8
531.5,164.75,-150.25,-279.75,-601.5,-7.75,-1200.75,-1540.0,8
452.0,160.75,-211.75,-339.75,-652.25,150.75,-993.0,-1116.75,8
628.25,196.25,-318.0,-307.5,-773.5,414.5,-922.0,-967.25,8
384.75,227.75,-428.5,-275.0,-959.75,494.5,-916.75,-1038.5,8
