0,1,2,3,4,5,6,7,label
550.0,29.5,-547.5,-151.25,743.75,435.5,-327.75,-224.75,9
794.75,-11.25,302.0,-381.5,494.0,89.75,-542.0,-207.25,9
394.25,-46.75,837.75,-389.25,364.25,-169.0,-714.25,46.75,9
253.5,-50.0,90.75,-348.5,73.0,-485.0,-635.25,-110.25,9
174.75,-49.0,-19.25,-462.5,-30.25,-884.25,-516.5,-379.0,9
-325.5,-133.0,650.0,-326.25,117.75,-1160.5,-446.25,-708.25,9
-821.5,-282.0,-98.25,-108.75,89.25,-1293.75,-320.75,-1305.5,9
-688.0,-274.75,-1195.5,157.5,-15.0,-942.5,-429.75,-1270.5,9
-752.25,-195.0,-1220.25,511.75,-50.5,-563.75,-587.5,-1157.75,9
-855.5,-166.0,-1214.0,634.5,-28.75,-502.75,-1107.0,-700.5,9
-387.75,-159.75,-1230.75,771.5,-8.25,-544.0,-1366.75,-729.5,9
441.25,-104.0,-1275.25,764.75,-66.0,-454.5,-640.0,-705.0,9
967.5,-75.5,-734.75,793.75,22.0,-42.0,-513.25,-48.25,9
891.75,-88.0,-42.75,582.0,-68.75,362.75,-642.5,142.5,9
967.25,-39.25,593.25,231.0,-161.5,507.5,-710.25,429.0,9
901.75,41.75,238.75,-10.25,29.75,652.75,-969.25,370.0,9
806.5,107.0,-648.5,-454.0,-87.0,835.0,-1057.25,669.25,9
268.75,122.25,-1258.0,-985.75,-179.25,972.0,-902.0,1082.0,9
179.0,25.0,-1315.25,-994.25,634.75,1025.75,-258.5,1038.5,9
-477.25,-93.5,-1019.75,-510.75,904.25,1028.5,351.0,964.75,9
-502.25,35.5,-651.75,-178.75,535.0,973.5,378.0,937.25,9
-269.75,180.25,-182.5,165.0,649.5,691.0,156.0,848.5,9
-411.0,240.0,246.25,120.0,699.0,348.25,-318.0,534.5,9
-112.75,295.75,504.0,-79.0,769.25,-162.5,-993.5,63.75,9
156.5,248.75,971.75,-294.75,897.75,-382.5,-1408.0,-403.25,9
342.25,188.5,1075.5,-495.5,939.25,-175.5,-1212.75,-508.75,9
347.25,25.0,988.5,-388.0,443.75,-96.0,-1127.0,-418.0,9
409.25,-50.25,994.25,-443.5,-231.75,-136.75,-713.25,-296.5,9
441.0,-107.25,699.25,-372.0,-270.25,-46.5,-602.25,-214.5,9
143.75,-108.75,257.25,-134.0,-115.75,335.5,-394.25,-160.5,9
-597.0,155.5,230.0,85.75,-374.0,645.0,-275.75,-15.25,9
