0,1,2,3,4,5,6,7,label
-150.25,-177.75,-40.25,30.75,605.25,-72.75,158.75,75.0,0
-97.25,-287.0,-41.0,59.0,545.5,-25.25,183.5,23.0,0
-240.25,-307.25,-25.25,166.75,485.5,47.25,296.5,74.0,0
-169.0,-323.25,-54.0,70.5,191.75,33.25,298.25,95.0,0
-125.25,-131.25,-58.25,195.5,449.75,81.25,306.75,8.5,0
-144.75,35.75,-60.0,150.0,147.75,57.75,191.75,53.75,0
99.0,70.5,-113.25,-182.25,-230.25,10.25,102.5,-107.75,0
163.75,148.5,-118.5,-346.0,-308.5,-12.25,105.25,-150.25,0
227.25,3.75,-106.25,-413.5,-52.75,-39.5,89.25,-189.5,0
121.5,-128.75,-86.0,-256.0,469.5,3.25,65.0,-319.25,0
43.25,-49.5,-48.75,-97.0,737.5,35.75,11.5,-416.0,0
-102.0,-97.5,-10.0,132.25,1330.0,145.25,154.75,-449.25,0
-463.5,-93.25,19.0,338.5,1323.25,176.75,293.25,-206.0,0
-373.5,-52.75,5.5,283.75,893.25,67.75,285.0,-17.75,0
-338.0,-16.0,16.5,260.75,849.75,12.0,213.75,177.75,0
-363.75,31.0,1.75,162.5,481.25,-59.25,75.5,403.5,0
-215.75,20.75,-15.25,73.75,259.75,-44.5,38.25,362.25,0
-178.25,-40.5,12.0,34.25,112.5,-8.5,-8.5,257.0,0
-96.75,-104.25,2.75,6.75,103.0,52.75,3.0,114.25,0
-121.75,-65.75,-0.75,72.75,183.75,81.5,77.0,-42.0,0
-111.5,-32.75,11.0,103.75,-59.5,45.75,48.25,-187.5,0
-46.0,15.75,17.75,37.75,-194.75,51.0,24.5,-298.5,0
39.0,11.25,23.75,-18.0,-175.0,58.25,-42.5,-387.0,0
-8.0,-42.0,14.0,62.0,186.25,82.25,-55.25,-502.0,0
-65.25,-60.75,22.5,54.0,180.75,40.0,-23.5,-570.5,0
-53.25,-49.75,22.75,5.0,165.25,-1.5,3.5,-573.75,0
-53.5,19.0,18.75,-105.25,-15.0,-156.75,-36.0,-284.75,0
110.75,73.0,-1.75,-173.75,-0.5,-260.25,-22.75,32.0,0
64.0,69.25,-18.75,0.25,543.5,-193.75,91.5,222.0,0
1.25,56.5,12.25,122.75,227.0,-124.25,278.0,400.5,0
71.75,52.25,-3.0,57.75,-247.75,-86.0,430.0,488.5,0
141.25,47.5,-16.0,-64.5,-222.75,-67.0,210.75,366.0,0
83.0,43.75,-6.0,35.25,102.0,49.0,101.5,142.25,0
-69.75,29.25,-3.25,106.25,189.25,89.5,42.5,102.5,0
-33.25,62.0,4.5,-41.0,-189.75,44.0,-86.0,136.25,0
98.5,65.25,28.25,-156.5,-305.25,87.0,-179.5,78.0,0
150.5,92.25,37.5,-202.25,-185.25,147.5,-299.75,-34.75,0
147.0,189.5,23.0,-191.0,29.0,191.75,-328.0,-144.5,0
101.5,152.75,-22.0,-151.75,277.75,164.5,-244.75,-170.5,0
74.75,81.5,-56.25,-43.0,320.75,94.75,72.5,-129.75,0
77.25,44.75,-25.25,162.5,456.75,107.0,147.5,-90.0,0
-18.0,2.5,-26.0,198.5,484.0,171.5,204.75,-13.25,0
-84.25,-8.25,-10.75,56.25,214.5,217.5,325.75,79.75,0
-51.5,-32.0,12.25,-41.25,91.75,196.5,248.5,94.25,0
-44.5,-42.5,25.75,16.5,13.0,129.25,255.75,93.0,0
-78.25,-9.0,34.5,-9.25,-23.25,121.75,225.5,131.5,0
-128.25,10.5,14.25,5.0,4.75,106.0,161.0,66.75,0
-128.75,81.0,53.0,155.5,-257.75,20.5,151.0,45.5,0
-35.0,151.5,49.5,104.5,-393.5,-37.5,160.0,112.5,0
8.25,158.0,6.25,-16.5,-430.75,-220.5,-19.75,185.25,0
66.25,134.5,-17.75,-86.0,-321.5,-334.0,-65.0,147.5,0
10.5,29.5,-13.5,-125.0,-59.25,-231.25,56.5,151.25,0
-4.75,9.25,1.0,-209.25,-255.25,-226.5,74.0,307.0,0
137.0,25.25,-20.0,-174.5,-289.0,-142.0,143.75,251.75,0
109.75,-64.75,-17.25,-107.75,-100.5,-17.25,132.5,173.25,0
66.0,-163.5,-9.0,-80.0,25.5,-15.0,113.25,101.0,0
88.25,-114.5,-1.25,-79.25,-119.5,-41.5,97.75,15.25,0
151.0,-15.5,-14.5,-127.25,-267.5,-0.5,150.75,-90.25,0
133.0,39.25,-5.25,-47.25,-207.75,47.25,44.0,-107.0,0
93.75,79.0,11.0,33.0,-250.5,65.25,-244.0,-56.5,0
45.0,48.5,-8.0,19.75,-310.5,107.25,-187.0,-136.75,0
63.25,35.5,-13.25,-47.25,-205.0,131.75,-26.25,-303.75,0
39.5,-35.75,-14.75,-3.0,23.75,156.75,94.0,-381.5,0
-26.0,-69.5,-19.75,-7.25,11.25,142.75,88.5,-207.25,0
-17.25,-70.25,-20.0,-24.5,89.0,83.25,-21.5,-140.5,0
-55.5,-93.5,-17.75,-52.75,37.0,9.25,8.0,-161.25,0
-16.75,-71.75,-4.0,-29.5,86.5,-0.75,171.0,-252.25,0
-40.5,-67.0,21.75,54.5,152.25,-54.75,157.75,-292.25,0
-40.25,-12.0,9.25,21.25,64.0,-149.0,30.75,-154.0,0
-5.0,41.25,3.0,0.75,112.25,-183.5,36.75,-53.5,0
-21.5,61.25,3.25,15.25,166.0,-171.25,-148.0,57.0,0
-28.25,59.0,-36.75,34.5,159.75,-132.5,-310.0,165.75,0
34.5,82.25,-52.5,-68.5,39.75,-132.25,-280.75,262.75,0
7.0,83.5,16.5,20.0,214.25,-36.0,-383.75,289.0,0
-93.5,-23.25,64.25,191.75,277.25,19.75,-269.75,237.5,0
-80.75,-177.0,22.5,76.0,15.75,30.5,-19.0,177.75,0
-3.25,-115.25,-15.25,-40.25,-316.5,86.75,-83.0,107.25,0
37.5,-32.0,-6.75,75.0,-160.25,106.25,-94.5,4.25,0
-67.5,-90.0,-9.75,68.5,162.5,141.75,28.5,-53.25,0
-82.25,-3.0,-24.5,-49.5,140.5,139.0,180.25,47.25,0
14.75,-9.5,-30.0,-195.25,-88.0,112.75,322.0,156.75,0
162.5,27.75,-64.0,-284.0,-406.75,111.0,365.5,150.25,0
206.25,27.75,-58.75,-130.5,-244.0,97.5,261.5,100.25,0
71.75,-31.25,-19.5,-5.25,313.75,124.25,155.75,-4.25,0
-160.25,-52.0,-4.75,32.0,587.5,75.0,-76.0,-0.5,0
-182.0,-56.5,-19.5,21.0,439.0,-29.75,-390.25,46.5,0
-97.25,39.25,16.0,98.25,524.5,-27.75,-558.0,34.75,0
-153.75,8.0,10.75,112.75,654.5,-32.75,-625.25,30.75,0
-170.75,24.25,4.25,34.25,741.5,-87.0,-527.75,30.25,0
-148.75,63.25,15.0,-81.5,639.75,-160.5,-372.75,51.25,0
-120.5,-61.5,8.5,46.0,610.5,-111.75,-244.75,30.0,0
-196.75,-122.75,53.75,222.75,568.75,-55.75,-236.5,144.25,0
-177.25,-60.75,48.0,209.75,249.75,42.5,-254.75,236.25,0
-157.25,-61.0,55.25,170.75,31.5,124.25,-139.5,277.5,0
-103.75,-33.75,37.5,65.5,-221.5,107.0,-43.25,247.0,0
-67.25,-63.75,27.5,43.5,-256.0,154.25,-118.0,151.0,0
-102.25,-35.0,24.5,-51.75,-232.0,182.75,-102.25,167.0,0
-48.75,90.5,-6.0,-132.5,-256.0,179.75,-88.5,193.25,0
-23.0,110.75,-12.5,-41.25,-211.5,108.0,-141.75,233.25,0
-10.25,110.75,-45.5,102.5,-212.0,29.25,-150.0,202.25,0
