0,1,2,3,4,5,6,7,label
-71.0,-63.75,-472.25,-48.25,135.75,-41.0,-33.25,-89.25,1
-57.75,-44.5,-589.25,-64.25,129.75,-46.0,-47.0,-85.0,1
-49.75,-44.75,-538.25,-40.75,89.75,-51.25,-57.75,-105.0,1
-43.75,-54.0,-498.5,-30.25,-4.0,-39.25,-64.0,-122.0,1
-43.5,-40.75,-306.0,-20.75,-56.75,-49.25,-71.75,-102.0,1
-49.75,-40.75,-114.0,5.5,-67.75,-39.25,-65.5,-79.5,1
-66.0,-28.25,-161.75,-20.5,-79.5,-37.0,-50.0,-102.75,1
-83.25,-25.75,-168.5,-61.25,-52.25,-48.25,-23.75,-107.75,1
-109.5,-32.25,-98.5,-89.25,-46.0,-33.5,-34.75,-94.75,1
-151.75,-47.5,-23.5,-91.0,-18.75,-34.75,-28.5,-70.25,1
-126.5,-54.5,52.25,-86.5,-20.75,-34.0,-34.0,-57.5,1
-66.5,-51.25,94.0,-89.5,-50.5,-36.5,-44.5,-67.75,1
-18.75,-57.0,173.5,-97.75,-64.5,-32.75,-25.75,-52.5,1
49.5,-42.5,168.0,-73.75,-79.5,-22.5,-26.25,18.25,1
96.5,-39.25,179.5,-41.75,-59.5,-25.75,-13.25,98.25,1
110.5,-22.75,129.0,-35.5,-51.75,-5.25,-10.0,65.0,1
56.25,-6.0,110.5,-39.0,-65.25,11.75,-20.25,30.75,1
18.75,-0.5,133.75,-27.0,-42.25,17.75,-5.5,-7.5,1
-19.0,2.75,163.75,-5.75,-19.75,38.25,2.25,-64.5,1
-78.25,31.5,297.5,-13.5,-6.5,48.25,13.75,-84.5,1
-101.5,32.5,398.0,-16.75,-27.0,49.5,9.25,-163.75,1
-140.0,16.0,503.5,-17.25,-48.5,52.5,4.5,-214.0,1
-155.0,19.25,687.75,-14.75,-45.0,51.0,14.75,-82.0,1
-148.0,-0.5,764.75,-0.5,-49.25,57.25,10.25,64.5,1
-137.25,-1.75,303.5,9.75,-58.0,48.5,0.75,39.75,1
-106.25,-1.75,-46.5,14.25,-74.25,58.75,-2.25,72.0,1
-80.25,17.75,-70.5,8.5,-56.75,81.0,8.5,81.75,1
-82.0,25.75,-48.0,12.0,-40.75,76.75,20.25,62.25,1
-53.25,37.0,111.0,24.25,-49.25,84.5,20.75,88.75,1
-33.5,49.25,85.0,10.0,-56.0,71.25,34.25,53.0,1
-31.5,47.0,-44.75,16.0,-43.0,65.0,48.5,35.75,1
-2.5,53.25,-403.5,28.25,-40.5,53.0,47.75,53.5,1
-8.5,44.5,-629.5,29.5,-64.0,30.5,57.5,72.5,1
15.25,63.5,-572.25,36.5,-35.25,55.75,65.5,61.0,1
56.5,72.75,-286.75,28.0,-29.0,67.75,62.75,79.75,1
72.75,66.75,158.75,29.25,-30.0,68.25,65.25,24.25,1
109.0,63.25,299.75,22.0,-21.0,63.0,56.75,-14.0,1
117.25,47.75,58.75,10.25,-22.5,50.0,57.75,2.0,1
104.0,27.75,-560.0,19.75,-14.25,42.75,54.75,-12.5,1
79.75,27.0,-813.75,25.25,-15.5,40.25,52.0,76.25,1
71.5,33.75,-585.0,52.5,4.5,48.5,65.25,179.5,1
80.0,36.25,-461.75,54.0,5.0,42.0,67.5,210.75,1
69.5,50.5,-349.5,29.5,3.0,39.75,63.0,141.0,1
115.0,43.75,-165.75,13.0,-20.25,39.0,41.25,74.5,1
155.0,45.5,106.25,6.0,-30.75,26.25,27.75,30.75,1
135.75,53.0,136.75,29.25,-32.75,26.75,25.25,-118.0,1
152.75,51.25,-94.75,48.5,-50.5,26.25,13.75,-341.25,1
160.75,53.25,-29.75,60.0,-51.25,25.0,8.25,-371.75,1
154.5,39.0,402.25,59.0,-49.5,21.25,4.75,-171.5,1
154.25,17.25,708.25,64.75,-48.5,19.5,16.0,-156.25,1
179.5,39.25,536.5,58.0,-66.0,21.25,10.0,-257.25,1
199.0,52.75,156.25,34.75,-55.25,15.25,4.5,-117.25,1
150.25,54.0,-34.0,35.25,-50.0,14.0,17.0,6.75,1
109.5,61.0,-79.75,36.25,-43.5,15.75,17.25,-27.0,1
100.0,50.5,-55.0,58.0,-30.0,7.75,6.0,19.5,1
88.25,65.75,-171.0,83.25,-17.25,-4.75,-14.5,21.25,1
68.5,54.75,-288.0,61.25,11.75,-11.25,-5.75,-60.25,1
27.5,38.0,-415.25,66.0,30.0,-6.0,-4.75,-83.25,1
-30.0,23.75,-258.0,78.0,63.0,3.75,-5.25,-43.75,1
-106.5,-7.25,103.0,75.75,95.0,7.5,-6.75,-54.75,1
-165.75,-14.0,253.5,99.75,141.25,8.5,-12.0,-48.5,1
-282.5,-30.25,569.5,101.0,192.5,32.5,3.0,-3.25,1
-424.5,-44.75,783.5,93.5,240.5,53.5,9.0,8.5,1
-474.25,-58.0,415.5,67.25,267.0,61.5,2.5,19.25,1
-463.0,-89.0,59.5,9.75,288.5,48.25,-2.0,25.75,1
-450.25,-113.0,293.25,6.75,354.5,54.75,1.75,132.5,1
-461.75,-167.75,670.25,12.25,406.75,69.5,2.25,156.5,1
-439.75,-179.75,587.5,39.0,425.75,75.0,-22.5,129.5,1
-464.75,-191.0,-437.5,77.75,455.25,94.5,-48.5,122.75,1
-514.0,-222.25,-868.75,90.5,476.5,89.0,-66.0,92.5,1
-484.75,-234.25,-810.75,130.0,506.25,93.0,-80.25,84.25,1
-485.5,-271.5,-693.25,171.25,519.25,99.25,-91.5,79.25,1
-470.25,-275.25,-488.0,203.0,481.25,103.0,-100.25,95.5,1
-452.75,-214.0,-4.25,170.5,417.0,107.75,-124.25,107.5,1
-391.25,-137.25,767.0,88.75,339.0,75.75,-164.0,180.25,1
-326.5,-128.0,977.5,43.0,295.5,47.5,-190.0,216.75,1
-299.75,-110.75,584.25,43.0,237.5,42.75,-212.0,210.5,1
-225.5,-94.0,39.25,-9.0,157.0,32.75,-230.5,214.75,1
-121.5,-74.0,38.0,-74.75,89.5,20.75,-251.75,220.0,1
-57.0,-22.5,147.25,-129.5,14.5,2.0,-273.5,203.0,1
19.25,17.75,-25.5,-174.0,-29.75,-6.25,-292.75,175.0,1
