0,1,2,3,4,5,6,7,label
874.5,27.75,25.5,-84.0,306.75,15.75,-4.25,-4.5,2
346.75,24.25,-4.25,-110.0,284.0,26.25,-14.75,13.25,2
-154.5,-5.0,1.5,-111.25,246.75,16.25,-21.75,5.0,2
-252.0,-32.0,-3.0,-115.75,248.5,-3.0,-22.0,-0.5,2
-424.5,-23.75,-18.0,-119.0,243.75,-13.5,-23.0,-0.5,2
-468.75,-20.5,-10.25,-122.5,258.5,-5.25,-39.75,-16.25,2
-608.75,-40.75,-11.25,-119.25,281.5,-1.25,-41.0,-16.75,2
-836.25,-71.25,-12.0,-118.0,298.25,6.75,-36.75,-13.25,2
-1184.0,-104.25,-15.5,-117.0,290.25,5.75,-36.0,-15.25,2
-1145.25,-107.25,-15.5,-113.0,277.0,9.5,-43.75,-3.75,2
-805.5,-95.0,-22.75,-110.0,277.0,25.25,-34.75,9.75,2
-324.25,-54.25,-25.5,-102.25,266.0,18.75,-19.25,18.5,2
310.5,-47.0,-32.5,-86.0,269.25,7.25,-13.75,16.0,2
490.75,-93.0,-30.25,-89.5,263.25,7.75,-10.5,6.5,2
338.25,-107.0,-24.5,-74.75,253.75,12.5,-2.25,1.0,2
21.0,-109.0,-30.25,-66.5,251.5,18.5,13.0,32.75,2
-152.75,-75.75,-16.75,-68.75,242.0,24.25,9.5,98.0,2
-631.5,-64.5,-13.5,-53.25,232.5,27.0,23.5,125.0,2
-894.0,-79.25,-13.5,-45.5,223.25,29.25,27.75,91.5,2
-230.5,-64.25,-9.0,-32.5,231.75,39.0,41.75,70.5,2
276.5,-58.5,-8.75,-29.25,227.0,36.75,56.0,46.5,2
503.5,-60.75,-10.5,-16.25,209.0,27.0,55.75,10.0,2
597.25,-73.75,-6.25,-14.5,200.25,45.75,75.5,-15.75,2
453.5,-91.75,-0.75,-22.0,189.5,54.5,73.0,-67.5,2
303.25,-87.0,2.25,-23.0,177.0,66.5,73.25,-22.0,2
181.0,-41.75,-1.5,-39.75,167.5,84.0,64.25,128.5,2
-30.25,-2.5,3.0,-26.0,147.75,73.5,58.0,125.0,2
-129.75,52.25,-3.0,-6.75,149.0,72.5,59.25,47.5,2
-45.25,112.75,-3.75,18.75,171.0,80.75,65.25,55.25,2
-215.5,124.75,21.0,60.25,191.75,87.25,85.0,-5.0,2
-607.75,114.0,38.75,93.75,247.75,99.25,92.5,-52.75,2
-684.25,71.75,68.0,134.0,311.5,134.5,107.75,-93.25,2
-574.0,2.0,83.75,163.25,361.0,156.0,108.25,-140.0,2
-494.5,-66.25,95.0,198.0,402.25,167.5,96.0,-135.25,2
-247.25,-93.5,109.75,220.0,394.25,179.25,92.25,-100.5,2
-70.0,-78.25,98.0,206.25,325.75,162.75,72.5,-20.5,2
35.5,-49.0,71.0,166.75,256.5,140.75,51.25,38.0,2
75.5,-30.0,22.25,90.0,138.0,89.0,24.25,95.5,2
77.75,-2.5,-18.5,6.25,-16.0,34.25,-15.0,146.0,2
198.25,27.75,-50.5,-51.75,-101.0,18.5,-30.5,133.5,2
365.5,53.0,-74.25,-91.75,-171.25,6.5,-53.75,142.5,2
578.25,69.75,-89.5,-155.5,-244.75,-6.75,-80.0,140.25,2
697.0,82.75,-114.0,-212.25,-332.5,-44.5,-98.0,141.75,2
686.75,113.5,-155.75,-272.5,-403.0,-63.25,-114.75,224.0,2
700.5,100.0,-160.0,-279.25,-384.25,-72.5,-127.0,328.25,2
641.0,98.5,-155.0,-279.75,-362.0,-91.5,-133.75,345.5,2
481.0,98.0,-139.0,-270.25,-303.0,-68.75,-114.75,302.0,2
226.0,58.25,-105.25,-227.75,-253.25,-57.5,-110.0,262.25,2
-6.25,23.5,-100.75,-216.75,-209.5,-53.25,-105.0,224.5,2
-92.5,6.75,-75.25,-195.75,-149.75,-42.25,-87.75,199.5,2
-96.5,21.0,-59.25,-176.5,-107.5,-25.5,-77.25,152.75,2
-108.0,11.5,-41.75,-154.75,-52.5,21.75,-68.0,138.75,2
-108.0,-9.5,-23.5,-131.75,-22.5,21.75,-50.25,106.75,2
-192.0,-1.25,-11.0,-103.0,25.75,16.75,-38.5,84.75,2
-217.75,39.25,1.75,-83.5,53.25,34.75,-36.5,44.75,2
-91.0,54.0,11.75,-67.0,83.25,23.75,-40.75,-2.5,2
-17.0,26.5,31.0,-47.5,92.75,33.0,-42.75,3.0,2
66.5,-2.5,34.0,-42.5,100.5,30.0,-33.0,-25.5,2
145.0,-13.25,30.25,-28.75,108.25,24.25,-20.25,-32.5,2
179.0,-22.25,38.75,-1.0,74.5,31.5,-0.75,-45.75,2
181.75,-21.5,31.25,19.5,76.75,37.5,5.75,-58.75,2
142.5,-6.0,36.0,15.75,59.5,39.5,10.0,-58.5,2
70.5,-3.25,42.5,31.0,45.5,23.75,20.25,-65.25,2
-19.75,-9.25,47.75,47.5,50.75,26.75,19.25,-82.0,2
-146.5,3.75,56.0,46.5,36.0,17.5,13.25,-83.75,2
-256.0,16.0,52.5,43.5,34.0,13.75,9.0,-91.75,2
-315.0,18.0,53.25,50.75,38.75,6.0,17.0,-93.75,2
