0,1,2,3,4,5,6,7,label
523.0,-43.75,-163.75,-224.75,-253.75,-97.5,-111.25,30.75,3
797.75,-37.0,-247.75,-256.0,-305.5,-221.0,-145.75,20.75,3
1001.75,-21.0,-230.0,-308.25,-396.25,-379.75,-165.5,80.5,3
994.75,1.5,-242.0,-333.0,-471.0,-281.5,-189.75,128.5,3
841.25,-5.75,-353.0,-364.25,-521.25,-205.75,-217.25,156.25,3
613.0,-14.5,-504.0,-369.75,-567.0,-114.25,-225.0,198.0,3
387.25,-3.5,-451.25,-371.25,-555.25,-27.25,-229.75,247.25,3
230.0,3.5,-220.25,-337.75,-492.5,-73.75,-230.0,242.5,3
134.75,-10.0,5.5,-282.0,-390.5,-64.75,-210.25,192.5,3
44.0,-26.75,222.75,-227.75,-245.0,-113.75,-166.5,179.0,3
-141.75,-71.25,374.5,-163.0,-78.75,-93.25,-120.5,129.25,3
-279.0,-118.0,389.25,-116.5,55.5,-100.0,-78.0,103.5,3
-282.25,-132.0,272.75,-84.0,180.75,-181.25,-43.0,78.75,3
-233.5,-134.75,145.75,-23.5,295.5,-71.75,-0.25,44.0,3
-189.0,-148.25,-1.25,27.75,381.0,203.25,26.0,18.0,3
-206.0,-150.75,-114.75,93.25,453.25,365.5,47.5,-23.5,3
-222.0,-147.25,-165.25,139.75,491.5,316.5,77.0,-65.5,3
-318.25,-134.5,-312.75,130.75,516.0,271.5,86.75,-90.75,3
-491.5,-129.5,-637.25,154.5,531.25,163.0,101.25,-85.5,3
-615.5,-127.75,-792.5,184.0,521.75,51.75,130.75,-107.0,3
-747.0,-120.25,-361.5,199.5,512.0,-20.75,144.5,-131.0,3
-889.0,-113.75,75.5,209.0,502.5,-40.75,150.0,-153.5,3
-912.75,-88.0,411.25,229.0,472.0,-62.75,167.5,-143.5,3
-882.5,-69.5,637.5,243.25,429.0,-131.0,176.75,-128.25,3
-833.75,-50.25,629.75,261.25,408.75,-33.75,174.75,-128.25,3
-742.5,-42.75,549.25,273.75,385.75,149.0,184.75,-91.0,3
-617.75,-38.5,336.5,260.5,326.5,219.0,190.75,-61.75,3
-439.0,-4.25,192.25,275.0,266.75,219.0,183.5,-81.0,3
-167.25,23.25,48.25,278.5,208.5,183.25,189.0,-112.5,3
172.5,29.0,-64.75,272.5,184.75,140.5,178.75,-147.5,3
479.25,42.0,-84.75,280.25,169.5,144.25,163.5,-206.0,3
715.75,51.5,-96.0,308.75,133.5,149.75,150.75,-261.25,3
805.5,59.0,-88.75,300.5,126.5,136.75,140.0,-294.0,3
684.75,88.75,-40.0,276.5,125.25,122.0,139.0,-287.25,3
453.0,83.25,-5.25,262.25,87.5,117.5,135.75,-271.75,3
169.75,83.25,-45.5,237.0,63.5,115.0,142.5,-291.75,3
-18.5,110.0,-100.25,229.75,53.5,128.5,119.0,-276.25,3
-70.75,103.5,-213.0,184.0,27.0,124.25,111.5,-187.0,3
-117.5,106.5,-294.0,166.75,21.0,68.75,107.5,-104.0,3
-133.25,91.75,-390.25,190.25,30.25,38.5,78.25,-35.75,3
-179.5,77.75,-336.0,199.25,17.5,41.0,83.0,2.5,3
-266.25,69.75,-94.5,186.75,-1.75,11.5,76.75,-11.75,3
-203.25,65.75,31.75,177.0,-5.25,-6.0,70.25,-17.75,3
-153.5,70.25,74.0,152.0,0.25,5.5,73.0,-52.0,3
-192.5,49.0,95.5,110.5,7.5,25.0,76.0,-35.25,3
-182.25,52.0,47.75,91.25,9.5,66.5,63.75,-39.5,3
-181.5,58.0,7.75,48.5,-10.25,99.0,57.0,-94.75,3
-144.25,54.0,121.25,20.0,-27.75,97.25,55.75,-69.0,3
-92.25,90.5,188.25,4.75,-23.25,62.25,48.0,-26.25,3
-41.75,116.75,101.5,-35.0,-24.75,43.0,61.5,-61.0,3
-4.25,103.25,4.5,-44.75,-32.5,30.0,64.0,-128.5,3
-55.0,99.25,-45.5,-36.75,-43.25,22.0,60.75,-190.5,3
-167.0,81.5,-104.0,-19.5,-62.25,13.75,64.5,-124.0,3
-341.25,56.25,-88.5,-3.5,-63.75,-2.0,70.0,1.0,3
-442.0,37.5,-9.25,-0.75,-64.0,13.25,65.75,14.25,3
-347.5,19.5,-19.5,2.5,-61.0,30.75,61.0,19.75,3
-134.0,11.25,-202.75,7.5,-61.5,52.75,57.75,5.75,3
40.0,-15.5,-310.5,-6.5,-53.75,69.75,44.5,-1.25,3
118.0,-26.5,-106.25,-5.25,-51.5,84.0,41.5,-37.0,3
118.5,-35.0,77.25,-3.0,-56.5,75.0,25.25,-84.25,3
82.0,-17.75,270.75,-14.0,-49.25,57.5,33.5,-46.0,3
-37.25,16.75,556.25,-13.75,-51.25,14.5,41.75,-3.0,3
-246.75,18.0,719.5,-8.0,-56.25,-63.0,31.5,32.25,3
-239.0,41.0,701.75,-2.5,-64.0,-70.75,34.25,15.0,3
-32.25,52.0,474.0,-1.75,-55.5,-42.0,38.75,-39.5,3
-17.5,48.5,259.75,2.0,-48.5,-44.0,31.25,-115.0,3
