0,1,2,3,4,5,6,7,label
579.75,-165.5,675.75,-9.25,1494.0,1012.75,2400.75,-1712.25,4
346.25,-322.75,-200.75,-243.25,-114.0,845.25,2386.75,-1694.75,4
453.5,-451.25,-195.0,-287.75,-1117.25,673.5,2068.75,-1776.0,4
6.0,-861.75,-59.0,-314.0,-460.0,616.5,1635.75,-1835.0,4
-771.75,-1301.75,-508.75,-161.0,51.5,500.25,1057.0,-1941.5,4
-1045.5,-1104.25,-685.25,76.25,304.75,279.75,1140.25,-1975.25,4
-885.25,-542.5,-793.0,451.0,319.0,74.5,1101.0,-1960.75,4
-697.75,-341.25,-604.75,658.0,-697.75,-150.25,495.0,-1855.25,4
-640.25,-279.5,-658.5,762.75,-996.0,-278.0,1131.0,-1569.75,4
-721.0,-326.0,-498.5,784.25,-953.0,-149.25,1728.75,-1276.5,4
-787.25,-414.0,-166.75,646.0,-922.5,-37.75,1603.25,-1218.0,4
1254.75,-377.75,136.25,674.25,-906.25,-90.25,1287.25,-1211.0,4
1308.25,-388.5,371.5,764.25,-244.5,-119.25,1028.0,-1148.75,4
1341.5,-501.5,-208.75,479.25,1182.5,-277.0,614.5,-1062.0,4
1397.75,-380.5,-926.5,64.0,1873.75,-459.25,-15.5,-1040.75,4
1470.0,67.25,-994.0,-294.25,1723.0,-463.5,289.5,-1066.25,4
1244.75,295.5,-237.5,-530.0,1103.25,-426.75,754.75,-749.5,4
1596.75,269.75,-3.5,-712.75,1093.25,-647.75,821.5,-431.5,4
1468.0,224.25,308.25,-781.5,399.25,-948.75,31.25,55.75,4
1284.0,365.25,333.75,-493.0,53.5,-1151.5,-740.25,232.5,4
457.5,367.0,431.25,-275.75,1053.75,-1204.25,-1339.5,283.75,4
-985.5,107.5,572.75,-140.0,1040.5,-1094.25,-1507.0,235.0,4
208.25,280.0,462.5,129.25,1024.5,-903.5,-1459.25,143.25,4
850.5,512.75,224.25,428.5,1617.0,-694.0,-1025.5,51.0,4
1415.75,455.75,58.5,644.75,2142.75,-615.25,-1027.25,-1.5,4
1280.75,310.75,-18.5,592.25,2538.5,-509.5,-1031.25,181.25,4
710.5,12.75,-130.5,353.25,1942.25,-338.25,-1183.75,67.0,4
565.75,17.25,-182.25,166.0,946.75,-111.25,-808.0,-127.25,4
-320.5,-122.5,-172.5,11.75,931.5,196.0,-1159.5,-69.75,4
-304.5,-70.75,-89.0,49.5,690.25,558.25,-1421.0,-82.25,4
-616.0,299.5,-67.25,150.5,35.25,1007.5,-1487.75,-152.25,4
-461.5,318.0,-95.75,301.75,-292.5,1363.5,-1299.75,-236.5,4
-798.0,321.5,65.0,298.75,-411.75,1687.0,-851.0,-732.25,4
-852.5,106.5,56.25,-104.25,-683.0,1872.0,-724.0,-1470.75,4
-681.75,-54.5,184.25,-582.5,-383.0,1667.5,657.0,-1926.75,4
-542.75,9.25,-2.0,-812.5,-7.5,1386.5,1244.5,-2034.0,4
-159.5,-75.75,-104.0,-730.0,276.5,1105.5,1062.25,-1972.5,4
-725.25,-123.5,32.75,-501.0,558.25,824.25,630.25,-1935.75,4
-1213.5,23.5,400.75,-77.25,877.5,549.75,493.25,-2006.0,4
-1439.75,-48.0,805.0,300.25,849.5,183.75,687.25,-2090.5,4
-1288.5,-233.75,327.25,546.25,830.0,-336.5,6.5,-1927.75,4
-1006.25,-186.25,-218.75,706.25,778.5,-870.5,-16.0,-1833.75,4
-690.0,-51.75,-279.25,666.0,-27.25,-948.75,-30.5,-1391.5,4
-526.75,-100.75,-421.5,322.5,-685.5,-982.25,28.75,-787.5,4
-374.0,-100.75,-317.75,-54.0,-505.75,-1071.0,142.75,-79.75,4
-280.25,2.5,177.75,-161.75,584.25,-1152.5,129.25,655.75,4
-315.75,-77.5,-40.75,-142.25,434.0,-809.75,603.75,1244.5,4
-66.5,6.0,-568.25,-132.25,-940.25,-485.0,1552.75,1762.5,4
316.0,-178.0,-779.25,-34.5,-752.75,-343.5,1986.0,1686.25,4
501.5,-261.75,-461.0,121.0,-547.0,-82.5,1518.25,1515.75,4
314.5,-176.25,91.5,58.75,-1121.25,143.25,545.75,1527.25,4
231.25,-176.0,378.75,-8.75,-1106.0,259.5,-508.0,1498.25,4
82.75,33.0,420.5,120.0,-1098.0,249.5,-2842.75,1410.0,4
54.0,438.25,125.75,303.5,-1403.5,178.0,-2091.25,1547.0,4
350.0,1101.5,365.0,494.75,-1371.75,122.0,-1249.0,1443.75,4
809.25,1055.0,656.0,533.75,-182.75,77.25,-1453.5,1375.0,4
1046.5,370.25,562.0,816.5,32.75,-33.25,-1732.75,1348.25,4
990.75,-413.5,172.75,1008.75,-108.0,-51.75,-418.75,1356.25,4
497.25,-852.75,-126.25,782.5,61.75,51.75,795.0,1446.0,4
-832.0,-481.75,-75.75,389.0,535.0,62.25,392.25,1565.0,4
-812.25,-504.0,-84.75,-318.25,1919.75,209.75,1000.5,1733.0,4
-925.5,-641.75,-232.0,-980.25,2783.0,405.0,1799.75,1854.5,4
-973.5,-377.75,-420.0,-1177.0,2934.0,291.5,2121.0,1867.0,4
-707.75,-138.0,-274.5,-1300.5,2900.25,290.0,2333.75,1926.0,4
-604.25,79.5,-210.25,-1296.25,2640.5,355.5,2757.5,1997.5,4
-412.75,296.0,-172.0,-1223.75,2459.25,446.0,2435.25,1973.5,4
97.25,600.0,61.25,-737.75,2401.5,145.25,2246.5,2000.75,4
451.0,606.5,81.5,-592.0,2227.75,-677.25,1961.75,1979.75,4
520.75,374.25,24.0,-515.75,2185.5,-1077.0,1933.25,1986.25,4
436.25,313.0,33.5,-88.0,1996.25,-1101.25,1983.0,1990.0,4
348.0,225.75,-12.0,-13.75,1926.0,-1180.5,1979.5,2119.0,4
472.5,105.25,194.5,-50.0,1889.0,-1104.5,1984.75,2305.0,4
468.25,175.0,756.0,44.5,1851.5,-1040.5,1856.5,2433.75,4
331.0,257.75,968.25,67.0,1856.75,-1251.5,1670.0,2661.75,4
68.75,397.25,1014.5,37.0,1853.5,-1540.5,1876.0,2768.5,4
-118.25,217.5,675.25,90.75,1879.75,-1498.5,1599.75,2626.75,4
-327.75,-267.75,-361.75,356.5,1313.0,-890.5,847.0,2387.75,4
-95.75,-421.5,-562.75,534.5,618.75,-611.0,-287.0,2078.5,4
45.25,-266.0,-275.5,450.5,-303.25,-506.5,-1.0,1640.75,4
-233.5,-53.25,-127.0,435.5,-707.75,-407.25,-388.5,1321.5,4
-117.75,76.75,-205.0,360.25,-932.75,-375.25,-952.75,1045.75,4
-77.5,214.75,-57.0,219.75,-904.5,-310.0,517.25,502.0,4
-36.25,295.25,3.25,170.5,-858.25,-237.5,1287.5,8.25,4
-5.0,437.75,-352.25,131.25,126.75,-0.5,1018.25,-395.75,4
-170.0,567.0,-148.5,-4.5,833.5,254.25,963.75,-806.25,4
-193.5,474.25,-24.25,-71.75,1022.75,410.75,193.25,-1358.25,4
-52.5,-83.75,-161.25,81.75,1018.75,533.5,-325.75,-1682.0,4
59.0,-793.5,-615.75,273.75,802.0,729.0,-124.0,-1794.0,4
-271.5,-1238.75,-692.0,624.5,644.5,1120.0,512.0,-1958.5,4
-753.5,-1348.75,-259.75,1004.5,572.0,1429.75,736.75,-2597.0,4
-639.0,-1050.25,240.0,1009.75,543.0,1527.5,797.25,-2972.25,4
-147.5,-432.25,504.0,721.25,490.75,1580.75,530.75,-2708.0,4
-55.25,-454.0,259.0,352.25,397.0,1446.5,-13.75,-2504.75,4
-19.75,-574.75,171.0,73.75,195.5,1146.25,-384.0,-2603.0,4
29.5,-261.5,177.25,-186.0,3.75,956.25,-644.25,-2144.75,4
-20.5,-186.0,342.5,-226.25,-106.75,887.75,-794.0,-1992.5,4
126.5,118.25,321.75,-223.5,-208.75,914.25,-764.75,-1781.75,4
178.75,311.0,39.25,-200.75,-299.5,905.25,-1118.25,-1620.75,4
429.25,352.25,-159.25,-175.5,-736.5,794.25,-848.75,-1158.5,4
729.25,205.5,-389.25,-282.25,-1564.5,765.5,-226.25,-884.75,4
416.5,82.25,-281.0,-483.75,-1957.5,555.0,-442.25,-587.5,4
-126.0,8.0,-75.5,-379.0,-1602.5,95.25,-1278.25,-422.0,4
-420.5,-91.25,38.5,-220.5,-1385.75,-132.25,-1444.75,-491.0,4
-673.75,-92.0,23.5,-166.5,-945.25,-205.0,-1070.25,-311.0,4
-531.75,-8.0,43.0,-199.5,-439.5,-225.75,-919.25,-336.0,4
-286.25,296.25,391.0,-44.25,-424.5,150.0,-1764.5,-618.0,4
-108.5,504.0,816.75,182.75,-399.25,858.75,-2496.75,-811.25,4
93.75,752.25,544.5,155.25,-389.75,1106.75,-2793.0,-681.75,4
122.5,849.25,-248.75,-84.0,-695.75,1210.5,-2815.0,-529.25,4
227.75,1034.25,-596.5,-170.25,-1108.0,1203.75,-2772.25,-470.25,4
263.75,1098.0,-678.75,-88.75,-772.0,1126.0,-2735.5,-322.75,4
268.5,1000.0,-338.0,-102.75,-665.5,968.75,-2667.0,-185.75,4
203.75,860.75,-35.75,-113.0,-870.0,643.25,-2650.5,-65.5,4
117.5,755.75,27.5,-265.5,-1075.75,264.0,-2255.25,-144.75,4
74.0,800.25,358.0,-425.5,-1121.0,40.5,-1495.0,-324.5,4
31.25,727.75,129.75,-460.5,-626.5,-160.25,-1226.5,-298.25,4
-0.25,490.0,-291.25,-368.75,-171.0,-496.25,-978.0,-406.75,4
-40.0,-288.75,-471.75,-336.75,269.25,-602.75,-1050.5,-684.25,4
-70.75,-786.25,-698.25,-359.75,629.25,-417.75,-1009.25,-1022.25,4
-54.25,-1025.5,-623.5,-280.5,374.0,-251.5,-709.0,-1154.5,4
10.25,-1242.0,-498.75,-271.0,135.0,-131.5,-211.5,-741.75,4
14.5,-1170.0,-392.75,-269.0,676.5,20.25,329.5,794.5,4
39.75,-1073.5,-228.0,-435.0,1085.25,31.5,599.75,621.75,4
20.5,-954.75,-114.5,-603.5,1110.0,16.75,788.25,423.75,4
-20.5,-18.25,-56.5,-520.5,1232.0,-160.75,941.5,351.75,4
-34.25,1005.25,56.75,-326.0,1332.25,-406.5,1143.25,148.25,4
-35.75,1005.5,95.5,-200.25,1218.75,-401.25,1396.5,-83.5,4
-3.0,1124.5,50.75,58.75,1019.0,-426.0,1396.25,-712.5,4
30.75,957.5,22.75,207.5,851.0,-309.25,396.75,-1825.25,4
46.75,-1005.75,-5.0,54.5,501.25,-224.75,-738.75,-2132.25,4
45.5,-928.25,64.5,54.75,271.0,-358.75,-567.5,-2166.25,4
31.5,-940.0,105.5,44.75,502.25,-264.75,-642.25,-2079.25,4
-25.25,-1006.25,127.0,32.25,847.25,209.0,-806.5,-1910.5,4
-54.5,-971.25,107.0,78.0,1033.25,416.0,-1133.5,-1879.0,4
-37.0,-855.25,82.5,29.25,1192.25,-40.75,-1534.75,-2070.75,4
43.25,88.5,80.75,53.5,1313.5,-497.75,-1238.5,-1823.75,4
135.75,467.25,70.75,143.25,1762.0,-915.0,-1297.0,-1459.25,4
185.75,795.75,77.5,303.5,1387.5,-799.25,-901.25,-968.5,4
178.5,526.75,66.75,420.5,257.5,-765.25,-806.5,-632.75,4
143.25,412.25,90.5,415.25,113.5,-940.0,-836.0,-496.0,4
101.75,525.0,100.25,481.0,80.5,-856.75,-632.0,-280.75,4
56.5,141.5,121.25,455.75,63.75,-899.0,-1412.75,-167.0,4
102.25,261.25,149.5,334.5,65.75,-855.75,-1977.0,-37.5,4
134.5,430.75,153.0,349.25,58.25,-746.0,-1546.0,239.0,4
82.0,641.0,157.0,190.25,70.75,-505.0,-799.75,634.5,4
2.25,357.25,142.5,76.25,65.25,-258.0,-733.5,946.5,4
8.75,269.75,132.5,91.0,64.75,2.0,-808.75,1456.25,4
47.25,295.0,128.5,-27.0,23.75,307.75,-813.75,1927.5,4
23.75,268.25,92.5,-54.5,-57.75,690.75,-934.5,2150.0,4
7.5,414.0,43.5,106.0,-126.25,1097.0,-750.5,1878.25,4
4.0,243.5,-8.25,539.75,-194.25,1463.25,-1042.25,1576.75,4
0.0,341.75,-53.5,897.25,-220.0,1671.75,-1344.5,1851.75,4
-22.0,371.5,-57.25,1005.25,-221.0,1674.0,-1263.75,2053.75,4
