0,1,2,3,4,5,6,7,label
-10.75,-27.75,438.5,-125.75,1768.75,-2296.5,-1435.0,-180.75,5
88.0,-81.75,617.25,-235.25,1819.0,-2171.75,-1375.0,-324.5,5
184.25,-121.75,583.5,-380.0,1997.0,-1670.5,-1587.5,-267.5,5
134.0,-130.25,276.5,-322.75,1830.5,-1523.0,-1424.5,-284.5,5
-85.75,-75.25,-4.75,-316.5,1631.0,-1471.75,-1277.75,-521.75,5
-222.5,-31.0,-248.25,-159.25,1845.5,-1216.25,-1138.5,-804.5,5
-237.25,-35.0,-386.5,-13.75,1825.5,-1155.0,-990.5,-905.0,5
-135.75,-18.0,-407.25,-62.25,1714.0,-958.5,-1002.25,-834.5,5
85.75,-9.25,-559.5,-115.25,2152.25,-634.5,-942.5,-844.5,5
348.75,-52.25,-404.75,-165.0,2144.0,-554.5,-451.25,-753.5,5
481.5,-49.0,109.25,-233.0,2265.75,-665.75,6.0,-820.0,5
703.0,-98.25,172.25,-234.0,2840.5,-553.0,235.25,-1045.0,5
786.5,-159.75,-255.25,-192.5,2732.25,-690.25,429.0,-1112.5,5
562.5,-117.0,-549.75,-210.25,2086.0,-746.5,616.5,-1246.75,5
453.5,-99.25,-721.0,-167.0,1646.5,-574.0,869.25,-1388.25,5
350.75,-52.25,-714.5,-23.0,1288.75,-365.75,918.0,-1080.75,5
286.75,-36.75,-667.75,84.25,967.0,-241.5,927.5,-193.5,5
144.0,18.0,-628.5,-2.75,472.5,-242.0,944.5,545.75,5
208.0,31.25,-347.75,-69.75,996.25,70.75,924.0,708.75,5
268.5,12.5,93.5,-75.75,959.25,520.75,946.0,963.75,5
212.25,52.5,409.0,-31.0,499.5,1001.75,916.0,1120.25,5
234.75,22.0,464.25,89.5,114.5,1112.0,884.0,1151.25,5
232.5,12.25,613.5,76.0,-330.0,1166.5,888.75,1161.5,5
335.0,-12.0,474.5,-129.75,-111.5,1329.5,1152.5,1062.5,5
439.5,-37.25,30.75,-119.0,-310.25,1442.25,1666.0,881.25,5
560.5,-16.0,-416.5,65.25,-450.0,1476.75,2006.0,734.75,5
624.25,-0.25,-673.5,56.25,-772.25,1437.25,2310.0,683.75,5
555.75,19.75,-664.75,117.5,-1264.0,1387.25,2817.75,838.25,5
470.75,57.5,-394.5,118.0,-1464.5,1386.5,2944.25,909.5,5
472.25,37.75,142.5,24.25,-1395.0,1476.5,2877.5,996.25,5
451.5,15.25,96.75,-9.0,-1346.5,1382.75,2766.5,526.5,5
471.5,33.75,50.25,-107.5,-1339.5,1323.5,2679.0,105.75,5
311.25,29.25,323.5,-181.25,-1175.25,1104.25,2612.5,-292.0,5
153.25,34.75,552.75,-156.0,-829.0,1148.0,2617.75,-617.0,5
173.5,37.0,962.5,-92.0,-667.25,1782.75,2718.0,-764.75,5
186.0,15.25,1084.0,-47.5,-511.25,2182.75,2798.75,-927.0,5
