0,1,2,3,4,5,6,7,label
-48.0,-62.0,-55.25,-72.5,-67.0,-46.5,-64.75,-58.25,6
-56.5,-63.0,-72.25,-76.25,-75.0,-49.0,-64.25,-71.25,6
-53.5,-65.25,-75.5,-89.75,-71.5,-53.0,-65.5,-68.5,6
-71.0,-70.75,-71.75,-104.25,-52.0,-55.5,-64.75,-71.5,6
-73.25,-66.25,-80.0,-110.0,-46.25,-48.75,-67.75,-80.75,6
-67.25,-73.5,-82.25,-99.75,-57.75,-48.5,-70.75,-73.0,6
-67.0,-84.25,-81.75,-95.75,-64.75,-56.5,-62.0,-69.0,6
-72.5,-74.0,-74.75,-99.25,-64.5,-48.75,-63.75,-61.25,6
-75.75,-71.5,-74.5,-85.5,-55.25,-50.0,-62.25,-69.25,6
-65.25,-61.25,-79.25,-84.5,-39.75,-34.5,-55.0,-55.75,6
-64.5,-52.5,-66.75,-79.5,-20.5,-17.75,-45.0,-42.75,6
-59.5,-44.0,-62.25,-58.5,6.25,-18.5,-32.25,-39.0,6
-47.75,-35.5,-59.75,-51.75,21.0,-14.25,-16.0,-30.5,6
-32.5,-31.25,-60.5,-29.75,17.25,-12.25,-22.25,-22.5,6
-32.5,-20.5,-37.0,-32.0,18.5,-5.5,-8.5,1.0,6
-27.25,-21.75,-32.0,-25.5,20.25,1.0,8.5,1.0,6
-19.5,-15.5,-36.75,-15.0,7.75,10.75,-0.25,5.0,6
-20.75,-14.0,-34.0,-13.5,-4.5,17.75,0.5,4.75,6
-20.0,8.75,-29.75,13.25,-11.75,26.0,7.75,12.75,6
-11.75,17.75,-16.0,14.0,4.5,44.25,28.75,21.0,6
4.75,12.75,-17.0,5.0,22.75,60.0,41.0,23.5,6
3.5,27.5,-11.75,4.0,21.0,68.0,44.25,49.0,6
11.75,19.75,0.25,8.75,33.0,59.5,57.5,45.75,6
20.0,31.5,16.5,18.25,65.25,63.0,47.75,46.25,6
11.25,31.75,18.0,22.75,72.0,48.75,58.5,60.0,6
9.0,27.25,26.75,20.75,89.75,49.75,56.75,60.5,6
12.0,51.0,25.75,23.5,148.75,52.0,51.75,55.5,6
17.25,49.0,20.0,27.25,166.25,50.75,72.25,63.75,6
22.5,46.0,21.75,38.75,132.75,58.75,63.75,62.5,6
8.0,44.5,22.5,45.0,110.5,57.25,75.75,58.5,6
14.25,46.5,24.75,42.25,103.25,64.0,83.25,76.25,6
19.25,56.75,27.75,52.25,77.25,63.25,69.25,75.0,6
11.75,57.0,32.75,45.0,24.75,66.75,79.5,70.25,6
18.75,50.75,30.25,42.0,-52.75,57.0,74.75,73.5,6
18.25,59.75,37.0,44.0,-143.0,73.5,72.25,86.0,6
26.0,65.75,30.25,53.0,-166.5,85.0,84.5,84.75,6
22.75,61.5,35.5,47.5,-68.5,61.75,82.75,69.25,6
18.5,57.25,36.0,30.25,75.0,64.0,83.75,68.75,6
19.75,52.75,20.75,31.0,145.5,62.25,68.25,68.75,6
12.25,39.5,25.5,15.0,146.5,55.5,62.25,68.0,6
19.0,35.5,19.75,11.5,115.75,42.25,73.5,53.75,6
14.5,38.75,21.25,18.0,85.25,48.5,62.5,46.5,6
18.5,40.0,19.0,15.5,82.75,61.25,58.75,45.25,6
23.5,32.25,8.5,7.0,64.25,40.25,59.5,38.0,6
17.0,24.25,1.0,4.5,62.5,40.25,58.75,26.5,6
12.5,32.5,4.5,-3.25,60.25,40.0,53.5,25.5,6
17.25,13.25,17.0,-11.0,50.5,47.5,42.75,36.75,6
19.5,10.75,19.5,1.0,51.25,60.5,48.75,30.0,6
10.0,12.25,21.5,-11.0,47.25,47.5,33.5,30.0,6
11.5,-4.25,14.25,-9.25,53.25,45.5,25.0,27.25,6
0.0,3.5,1.5,-17.75,58.5,38.0,22.0,22.0,6
0.0,9.75,-0.5,-17.0,46.5,43.75,19.75,26.75,6
-1.25,7.75,-4.75,-19.75,36.75,37.25,31.25,19.75,6
-14.0,10.25,0.75,-13.0,33.5,22.5,14.75,14.75,6
-13.75,3.0,6.0,-9.25,30.0,25.0,24.75,17.25,6
-15.25,4.0,-2.0,-22.5,24.75,25.75,24.75,19.25,6
-12.5,9.5,-0.25,-15.75,9.5,23.75,11.5,19.0,6
-21.0,6.75,1.5,-27.5,16.0,12.25,21.25,14.0,6
-27.75,0.0,0.25,-20.0,11.5,21.0,12.25,10.75,6
-36.75,-0.25,-14.25,-24.0,1.5,19.0,14.0,12.0,6
-43.0,-2.25,-13.75,-21.75,1.25,18.5,25.0,17.0,6
-34.5,-2.5,-21.5,-31.5,8.5,24.75,27.0,11.25,6
