0,1,2,3,4,5,6,7,label
-34.5,-110.5,-112.0,-156.75,-109.5,-105.25,-125.75,-128.0,7
-12.75,-123.0,-130.5,-147.75,-132.5,-131.5,-145.0,-157.25,7
-22.75,-135.75,-134.75,-168.75,-125.5,-127.75,-153.25,-127.5,7
-78.0,-146.0,-113.0,-161.75,-123.25,-141.75,-152.5,-120.5,7
-83.5,-155.25,-110.25,-162.0,-129.5,-124.25,-159.25,-117.5,7
-104.75,-160.75,-114.25,-175.25,-110.0,-120.75,-140.75,-123.0,7
-114.0,-152.5,-96.5,-171.5,-110.0,-100.25,-131.5,-117.25,7
-109.75,-130.5,-101.75,-158.25,-99.0,-92.75,-119.75,-106.25,7
-103.5,-124.0,-97.25,-142.75,-78.25,-94.25,-114.75,-101.75,7
-90.75,-116.25,-85.0,-150.25,-62.75,-54.5,-105.25,-72.5,7
-87.0,-94.25,-83.5,-130.0,-46.0,-53.0,-86.0,-62.0,7
-48.75,-72.5,-67.75,-105.25,-53.5,-42.25,-60.0,-49.0,7
-33.5,-43.5,-66.75,-90.5,-47.0,-35.25,-40.0,-36.0,7
-6.25,-23.5,-67.0,-83.0,-40.75,-15.25,-18.25,-21.25,7
27.5,-14.75,-61.75,-58.5,-30.25,-4.5,-8.25,-6.25,7
44.75,13.25,-63.5,-30.25,-19.25,6.5,-7.75,-0.5,7
45.0,22.0,-46.5,-16.0,2.25,19.75,15.25,12.75,7
32.75,15.5,-19.75,-5.5,20.25,16.75,22.25,15.0,7
6.25,28.25,-2.25,-2.25,29.5,28.75,32.5,21.25,7
32.25,26.0,-2.25,17.75,38.5,37.5,50.25,25.0,7
44.0,30.5,6.75,20.25,31.5,61.25,53.75,30.5,7
29.0,26.25,13.25,29.25,42.5,60.75,59.25,34.25,7
49.0,41.0,9.75,28.75,51.0,69.5,68.5,33.75,7
38.25,65.25,16.75,33.75,73.5,82.75,64.5,48.5,7
40.75,59.5,21.5,44.75,66.5,83.0,70.25,75.5,7
35.0,70.0,30.0,45.25,62.5,93.25,85.25,66.0,7
33.0,68.25,29.25,34.5,75.0,87.75,88.75,69.25,7
23.75,70.0,33.5,26.25,70.0,79.5,90.5,82.25,7
18.25,76.75,38.25,34.5,71.75,85.5,88.25,73.5,7
30.75,71.5,24.75,40.0,61.5,85.5,90.75,74.25,7
37.75,73.5,31.5,51.25,73.75,86.25,95.75,73.5,7
58.25,84.0,18.75,45.0,72.75,80.75,96.75,67.5,7
80.75,87.5,-0.75,40.75,61.5,84.25,105.0,54.25,7
91.25,76.75,-10.5,55.5,65.5,89.25,105.0,60.25,7
128.75,90.25,-33.25,77.5,53.25,101.75,106.5,56.0,7
164.0,115.75,-25.25,84.0,58.0,118.5,111.0,57.5,7
141.25,110.5,-5.0,97.75,51.75,94.75,99.0,57.0,7
145.0,111.25,-9.25,87.75,48.75,70.5,100.75,36.25,7
122.0,91.5,0.0,73.5,47.25,61.75,86.75,63.75,7
105.0,82.75,12.75,70.25,35.0,44.5,80.75,63.5,7
97.75,80.25,1.75,55.0,32.0,50.5,86.25,42.5,7
69.0,77.0,4.25,55.5,36.75,51.25,68.5,47.0,7
56.5,59.25,14.5,41.5,46.0,50.75,64.5,35.0,7
32.5,45.0,16.0,33.0,42.5,65.0,59.0,52.25,7
15.75,38.0,24.75,22.25,44.0,57.25,49.0,53.0,7
0.0,38.0,12.0,21.0,49.0,46.75,58.0,81.0,7
-10.5,45.25,12.5,16.75,41.0,34.5,57.75,101.0,7
-26.75,30.0,24.5,10.25,51.75,31.5,44.75,77.0,7
-18.0,35.0,19.25,14.0,42.5,40.75,50.75,75.5,7
-30.75,22.25,22.75,7.5,38.5,38.0,37.75,50.75,7
-66.0,1.5,23.5,-2.0,49.0,33.75,40.25,44.25,7
-67.0,1.0,22.5,-9.75,35.5,26.75,44.25,16.75,7
-39.5,0.75,4.5,-14.75,37.5,29.25,35.75,-9.0,7
-28.25,3.25,4.5,-30.5,37.5,29.75,42.25,-39.0,7
-3.25,10.0,-4.5,-28.5,33.75,15.0,30.0,-28.75,7
23.5,11.0,-18.25,-14.5,39.5,-6.25,25.0,28.0,7
26.0,6.25,-12.5,-17.75,36.5,-2.25,25.0,-6.5,7
36.0,15.25,-22.25,-9.5,31.0,2.0,25.75,50.0,7
23.5,26.75,-24.75,-13.25,22.5,-2.75,24.75,85.75,7
20.5,34.5,-20.0,-16.0,22.25,0.0,23.0,48.5,7
5.75,33.25,-13.75,-9.75,36.25,3.5,19.25,81.5,7
-7.25,42.0,-5.5,-7.25,28.75,31.5,13.0,45.75,7
-17.25,30.75,3.5,-9.75,31.5,28.5,14.0,9.0,7
-37.5,16.0,3.0,-15.25,34.25,24.0,9.25,11.75,7
-58.0,9.5,-4.5,-13.0,29.25,26.5,20.75,-20.0,7
-50.5,-1.75,-6.5,-3.25,36.75,8.75,9.25,-81.75,7
-19.5,12.5,-2.75,-12.0,42.25,20.0,7.25,-39.5,7
10.5,17.25,1.75,-8.75,46.0,31.75,27.25,134.25,7
-19.25,9.5,18.25,-18.75,44.5,21.25,29.0,119.5,7
-34.75,-9.25,18.0,-14.75,41.0,19.5,27.25,79.5,7
-34.5,-13.25,6.75,-12.25,38.25,26.25,26.0,60.75,7
-37.75,0.0,3.75,-18.5,38.0,15.0,19.75,-17.75,7
-28.25,-11.5,2.25,-22.75,51.5,33.0,17.75,-23.75,7
-25.0,-13.5,7.25,-34.25,43.75,34.75,23.25,-143.25,7
-7.5,-16.5,11.5,-40.0,30.75,28.25,23.75,-247.25,7
-18.5,-15.25,4.0,-51.5,32.25,21.5,14.0,-119.75,7
-13.25,-14.0,7.25,-35.25,29.75,20.25,22.75,33.75,7
-7.25,-16.0,21.0,-30.5,30.5,25.0,20.75,14.5,7
-9.25,-12.25,23.25,-40.25,38.25,19.75,15.25,35.75,7
-18.75,-14.25,19.75,-37.5,40.25,29.75,18.25,31.0,7
-27.0,-3.5,16.75,-28.0,31.75,21.25,17.25,16.0,7
-41.75,-14.0,5.5,-34.0,43.5,39.5,21.5,48.5,7
-82.25,-18.25,34.0,-36.5,61.5,47.25,26.0,44.0,7
-123.0,-23.5,48.75,-33.25,50.75,35.5,30.5,54.25,7
-132.75,-33.5,29.0,-37.25,39.5,29.0,25.5,34.0,7
-107.5,-26.0,35.5,-36.5,50.5,29.5,29.5,42.0,7
-125.5,-27.25,34.5,-35.0,54.25,43.5,39.25,28.75,7
-112.5,-30.25,44.75,-27.0,54.25,31.25,40.75,32.25,7
-90.5,-24.25,37.25,-23.0,46.5,48.75,34.25,46.75,7
-90.5,-30.25,32.25,-29.5,38.75,41.75,36.25,51.0,7
-71.75,-19.75,26.25,-18.5,37.25,40.75,41.0,66.5,7
-54.25,-12.75,4.5,-22.75,23.75,52.0,31.0,62.25,7
-38.0,-8.75,-1.25,-24.75,32.0,34.25,36.0,76.75,7
-29.0,4.5,-26.75,-16.5,38.75,49.75,24.75,58.0,7
-7.0,-8.5,-29.5,-5.75,31.0,44.75,18.5,26.0,7
9.0,-4.25,-39.25,5.25,29.5,39.0,22.25,7.0,7
12.25,-2.75,-32.25,-4.25,12.0,34.25,12.0,5.5,7
27.25,4.75,-37.25,5.25,-3.75,27.0,14.5,14.75,7
49.25,9.5,-60.0,5.75,-1.75,33.0,21.5,4.75,7
78.5,9.25,-61.75,17.0,2.25,41.5,19.75,-12.75,7
86.75,12.75,-59.75,14.0,8.5,37.75,18.25,0.75,7
33.0,-13.25,-41.0,-17.25,2.5,30.5,9.75,3.5,7
11.0,-7.75,-51.5,-24.5,-0.25,41.25,10.75,2.5,7
-4.5,-17.0,-34.0,-32.0,-8.0,41.0,8.0,11.0,7
-33.75,-23.25,-7.0,-19.0,-4.5,35.5,-1.75,9.5,7
-31.75,-21.75,3.75,-21.25,0.5,24.25,-1.25,12.75,7
-55.75,-36.25,1.5,-21.0,-4.25,23.0,3.25,3.75,7
-61.0,-31.75,-8.75,-25.0,2.75,21.0,11.25,12.0,7
-57.25,-43.5,4.0,-25.75,5.75,28.25,-2.0,10.75,7
-46.5,-35.75,-0.75,-16.5,7.25,28.5,-6.25,7.5,7
-38.25,-31.25,2.5,-30.5,2.75,7.5,-1.25,0.75,7
-28.75,-23.5,-3.25,-28.5,5.25,10.0,1.5,-7.75,7
-17.5,-19.5,-14.5,-36.0,-0.75,-2.5,4.0,13.0,7
-12.5,-25.5,-6.5,-37.75,-1.5,-0.5,6.0,20.25,7
-7.75,-28.25,-8.5,-33.75,3.75,20.75,17.5,18.75,7
-36.5,-42.0,8.0,-18.25,14.75,11.5,11.5,18.0,7
-44.0,-39.75,5.0,2.0,27.75,18.75,24.5,12.5,7
-1.5,-18.5,0.75,-7.0,25.25,32.5,20.25,13.25,7
-0.75,-8.75,-5.75,-4.5,22.25,27.25,16.25,19.75,7
-2.5,2.5,-5.0,5.5,20.0,23.0,37.25,21.5,7
3.0,12.25,8.0,-5.25,26.0,25.0,37.75,12.0,7
-2.0,3.75,-4.0,-4.75,14.0,16.0,30.5,7.25,7
0.5,3.25,-3.0,-6.0,6.75,2.25,10.5,14.0,7
-25.75,0.0,1.25,-23.5,20.75,10.5,21.0,8.25,7
-19.75,6.0,3.25,-21.75,14.5,18.25,18.5,13.0,7
-25.75,-0.25,13.5,-21.25,13.5,10.0,10.25,26.5,7
-41.75,5.0,11.25,-19.75,32.75,11.0,19.0,27.0,7
-42.5,23.25,6.75,-27.5,25.5,3.75,5.0,23.25,7
-40.25,25.75,1.75,-25.75,30.75,13.5,36.25,28.0,7
-18.25,25.25,16.0,-19.0,30.25,18.25,37.0,29.0,7
-6.25,26.5,7.0,-24.25,29.5,9.0,32.5,22.25,7
28.25,34.25,-16.0,-6.5,24.25,22.5,41.75,32.0,7
76.75,36.75,-23.25,-6.5,13.5,29.75,31.0,24.25,7
73.25,37.25,-25.0,-4.0,26.5,24.25,43.25,8.25,7
60.75,29.5,-25.25,0.25,10.0,14.5,33.0,3.25,7
61.0,20.25,-30.0,-8.25,3.5,-0.25,28.75,-8.5,7
63.5,31.75,-24.75,-11.25,3.75,0.0,23.25,8.5,7
59.25,36.25,-30.75,-9.75,1.5,1.75,22.0,21.0,7
47.0,24.5,-13.75,-3.75,15.0,-15.0,34.75,7.25,7
48.0,3.0,-10.5,-2.5,10.75,-1.25,29.75,19.75,7
35.25,12.5,-18.75,0.5,9.5,14.0,38.75,-1.75,7
