0,1,2,3,4,5,6,7,label
-1063.5,887.0,931.0,-1134.5,1435.75,1381.75,1861.25,-1317.75,8
-1068.25,886.5,941.5,-1138.75,697.25,1368.25,1865.5,-1427.75,8
-1069.75,882.25,951.5,-1142.25,-585.75,700.0,1849.75,-1518.5,8
-1079.25,870.25,936.0,-1138.25,-458.0,-611.75,1845.5,-1529.0,8
-1075.75,869.5,936.0,-1119.5,-413.25,-204.5,1851.0,-1541.0,8
-1080.0,866.0,932.0,-1121.25,-469.5,349.5,1848.25,-1553.75,8
-1070.25,896.75,929.25,-1110.25,394.75,478.5,1856.75,-1560.0,8
-1051.5,910.25,932.75,-1083.0,1563.25,904.75,1870.5,-1566.75,8
-1066.5,909.25,929.75,-1087.0,1591.0,866.75,1884.25,-1621.0,8
-1071.0,913.75,948.75,-1091.5,1616.0,827.5,1889.5,-1089.75,8
-1060.5,924.25,951.5,-1073.25,1554.5,813.5,1895.0,-769.25,8
-1052.75,673.75,965.5,-1064.5,1300.5,831.75,1902.5,-156.5,8
-1060.0,156.5,993.25,-1034.0,1201.25,858.75,1904.0,233.25,8
-1048.5,-42.5,1009.5,-1024.5,1409.5,847.0,1905.5,614.0,8
-1029.75,-399.75,997.0,-1042.25,1672.5,853.75,1814.25,729.0,8
-1013.75,-565.75,911.5,-1041.75,1570.25,883.75,1781.75,792.5,8
-1018.0,-772.25,809.5,-1050.0,1369.75,906.0,1653.0,721.75,8
-1009.5,-924.5,683.5,-1041.5,1154.75,940.0,1592.0,677.0,8
-998.5,-991.25,587.25,-1031.75,1119.0,987.25,1529.25,720.25,8
-997.25,-990.0,525.0,-1015.0,1636.0,1045.25,1552.75,811.25,8
-986.5,-974.0,497.5,-1002.25,2121.0,1088.5,1589.25,889.25,8
-993.5,-967.0,418.0,-994.5,2103.75,1118.75,1590.5,837.0,8
-870.25,-976.5,425.75,-973.0,1837.75,1149.0,1619.75,749.75,8
-749.5,-951.75,435.0,-973.0,1681.75,1152.25,1495.25,733.25,8
-677.0,-951.75,258.0,-967.75,1320.5,1150.75,1335.25,668.0,8
-472.25,-967.0,82.5,-980.25,968.25,1138.25,1293.75,691.5,8
-173.75,-964.5,88.25,-976.0,795.5,1102.25,1360.75,797.5,8
95.25,-959.25,32.75,-957.5,542.75,1066.5,1015.0,879.75,8
647.5,-954.0,-324.75,-951.75,234.25,1025.0,698.0,982.0,8
1009.5,-946.75,-629.0,-946.0,150.75,1004.25,461.75,1036.0,8
1020.25,-935.0,-900.5,-957.5,182.75,1018.75,274.0,1040.75,8
1024.75,-940.5,-959.0,-857.25,229.25,1054.75,218.25,1044.0,8
1020.5,-926.5,-840.75,-610.25,138.25,1100.5,155.5,1067.75,8
1021.5,-793.0,-709.0,-379.5,11.5,1147.0,145.5,1063.75,8
1014.0,-557.5,-658.5,-123.0,292.25,1105.0,125.75,1075.75,8
1002.75,-110.5,-957.25,155.0,470.75,1001.25,118.25,955.25,8
1029.5,517.5,-970.25,414.0,-673.25,890.0,188.5,428.5,8
1023.0,862.0,-971.25,559.5,-1527.25,830.0,178.75,102.25,8
1015.75,947.75,-984.0,684.0,-1584.25,787.25,88.0,234.0,8
1030.0,338.0,190.25,542.75,-1124.0,777.0,-51.25,1175.25,8
-989.75,-693.5,986.5,387.25,-841.5,657.75,-161.25,864.75,8
-994.25,-117.75,646.5,696.0,-1282.0,431.75,-248.25,112.25,8
787.75,558.5,-14.0,919.75,-1126.75,333.75,-343.75,-232.25,8
1012.75,1010.75,-344.0,1033.5,-1082.0,141.5,-418.5,-334.75,8
1002.5,1023.25,-505.75,1020.75,-783.25,-79.25,-511.25,-273.5,8
1003.5,1038.0,-532.5,1001.25,-446.75,-184.5,-54.0,-280.0,8
1011.75,1044.25,224.0,992.5,-337.5,1139.0,-39.5,-337.25,8
-986.75,1030.5,1024.0,-337.0,1629.0,1034.75,-20.25,-329.0,8
-978.5,1044.5,1043.25,-1006.75,1467.5,986.75,-39.75,-363.5,8
-983.5,1038.0,1041.5,-997.25,-618.0,919.25,-33.5,-399.5,8
-973.75,1036.5,1029.0,-1003.75,-754.5,860.25,-47.25,-403.75,8
-968.0,1051.5,1024.0,-998.5,-865.5,873.5,-66.75,-463.25,8
-980.5,1053.5,1007.0,-412.25,-1005.25,-59.5,-69.5,-517.0,8
-989.25,1039.25,995.25,-132.0,-1160.0,-558.25,-177.75,-542.5,8
-997.25,1030.5,982.75,718.75,-1280.25,-1095.5,-1121.75,-149.5,8
-1000.5,-135.5,841.5,1025.25,-1495.25,-1065.0,-1577.75,-93.0,8
-1011.0,-600.0,724.5,627.25,-1381.25,-1057.75,-1578.5,250.25,8
-1004.25,-383.75,533.5,683.75,-1101.0,-1049.5,-1855.25,501.0,8
-1005.0,-953.0,362.5,559.75,-896.0,-1024.75,-1969.5,574.0,8
-1015.25,-493.75,422.75,461.25,-793.75,-1048.0,-1987.5,701.5,8
-1019.25,-911.25,172.0,761.5,-688.75,-1048.5,-2013.75,885.75,8
-1023.75,-1001.25,-451.25,981.25,-551.75,-1060.5,-2011.25,1070.75,8
-366.5,-1000.75,-977.75,989.25,-557.0,-1096.75,-2029.0,1016.5,8
466.5,-1000.25,-968.75,1001.25,-483.25,-1118.5,-2037.25,1001.5,8
130.25,-1010.75,-967.25,994.75,930.25,-1105.5,-2042.25,1002.0,8
322.75,-1010.5,-967.0,1004.0,19.5,-1112.75,-2035.25,1040.0,8
477.0,-994.5,-986.5,1006.0,386.75,-1143.25,-1995.5,920.5,8
430.0,-975.5,-979.25,1009.75,92.0,-1150.75,-1973.5,1001.0,8
872.0,-959.5,-983.0,1009.0,205.25,-1150.25,-1975.75,1012.5,8
1007.5,-975.25,-995.0,999.75,229.75,-1119.25,-1998.75,911.5,8
1010.25,-972.0,-997.75,994.0,1449.5,-1076.5,-1918.25,910.5,8
1013.25,-964.75,-1024.5,979.25,1492.25,-1030.75,-1773.5,843.75,8
1011.0,-988.5,-1040.25,926.75,1482.75,-376.5,-1668.75,142.75,8
1017.0,-992.25,-1039.5,727.25,1458.0,-708.75,-1573.5,404.5,8
1018.25,-997.0,-1029.75,968.0,1553.5,-579.5,-1489.0,-55.5,8
1005.5,-998.75,-1007.0,-5.75,1757.75,-84.0,-1147.5,-156.75,8
827.75,-998.75,-1022.25,597.5,1688.25,-715.25,-1000.75,115.25,8
1003.75,-1015.0,-1017.5,351.25,1712.5,-297.5,-508.5,-192.25,8
618.0,-1017.5,-893.5,356.0,591.25,-526.25,-314.0,-3.0,8
911.75,-1004.5,-958.25,391.5,99.25,-364.5,193.0,-109.25,8
743.75,-1010.75,-1011.25,679.0,-764.75,-823.5,11.5,287.5,8
985.25,-1018.0,-1010.75,984.0,-890.75,-881.25,27.0,314.0,8
976.25,-1018.75,-1006.5,989.25,-965.75,-864.25,26.75,203.75,8
976.5,-1032.0,-1017.0,572.5,618.75,675.0,705.75,-1298.0,8
768.25,-774.75,-148.0,-995.0,354.75,1153.75,1153.75,-1258.25,8
477.75,-673.75,-341.75,-237.75,306.75,355.5,778.0,-798.75,8
568.5,-531.0,-180.5,-374.0,345.0,669.75,1037.75,-978.5,8
341.5,-353.75,-205.5,-153.75,333.25,235.25,744.75,-656.0,8
667.5,-450.0,-302.0,-131.75,316.25,353.0,991.5,-922.5,8
340.5,-179.5,-109.5,-213.0,131.25,189.5,873.5,-775.0,8
560.0,-257.5,-227.0,-91.75,-779.5,169.5,958.75,-884.75,8
261.0,-13.75,55.0,-328.5,-111.25,290.5,1007.5,-892.25,8
220.0,16.25,20.0,-190.0,-1748.75,50.75,887.75,-931.5,8
249.5,-1.0,-146.5,109.0,-1797.5,-159.0,633.25,-712.75,8
837.5,-358.75,-675.25,463.5,-1840.75,-176.0,534.25,-178.75,8
990.0,-365.5,-594.75,121.0,-524.5,235.25,681.5,52.25,8
989.5,-379.75,-672.0,280.75,-978.0,146.0,553.0,93.75,8
998.0,-434.5,-674.75,85.75,102.25,508.0,801.75,-185.75,8
992.75,-257.25,-481.25,-48.5,172.25,415.0,775.25,-20.75,8
1001.5,-271.0,-452.5,-131.5,192.75,498.5,1043.25,-61.75,8
632.0,138.5,158.5,-645.25,103.25,665.0,1245.25,-69.5,8
273.75,312.25,236.5,-363.5,-573.5,84.75,975.75,109.25,8
456.5,180.25,-38.5,-63.5,-910.75,-46.5,847.25,-44.5,8
507.25,202.25,103.25,-315.0,1724.0,101.0,871.0,-175.0,8
275.25,339.0,252.5,-338.75,596.5,-190.5,588.75,102.0,8
489.75,128.0,-269.5,316.0,-315.5,-945.5,-28.25,556.0,8
997.5,-398.75,-999.75,950.75,-272.75,-1473.5,-674.0,764.75,8
990.5,-898.5,-1005.25,944.0,-234.25,-1329.75,-639.5,623.25,8
