0,1,2,3,4,5,6,7,label
-54.25,-112.0,-59.75,-80.25,-43.5,-67.0,-78.0,-97.5,9
-24.5,-90.5,-64.25,-67.0,-38.0,-54.5,-80.75,-101.0,9
-103.75,-76.5,-79.25,-77.0,-39.0,-66.75,-72.25,-102.5,9
-189.75,-90.0,-76.0,-84.25,-48.5,-97.5,-70.75,-114.0,9
-177.25,-60.5,-68.25,-85.0,-56.5,-98.75,-68.5,-111.5,9
-125.25,-73.0,-77.5,-100.0,-67.0,-120.75,-64.75,-106.25,9
-117.75,-96.0,-76.5,-92.0,-83.25,-119.5,-64.25,-93.75,9
-94.5,-85.75,-70.25,-99.25,-72.5,-60.75,-61.5,-71.0,9
-33.5,-110.75,-57.25,-101.25,-41.25,-40.75,-56.5,-63.5,9
45.0,-90.75,-56.5,-87.5,-13.25,-16.0,-54.5,-40.0,9
114.25,-51.5,-44.5,-89.75,7.5,-7.5,-38.5,-11.75,9
121.75,-31.5,-35.75,-74.25,16.25,-17.5,-35.5,-1.5,9
91.25,11.5,-19.0,-62.5,27.25,9.0,-33.75,12.75,9
86.75,33.5,-21.0,-41.75,34.75,10.5,-24.5,28.0,9
68.0,35.0,-29.0,-36.5,49.5,16.75,-9.25,30.25,9
12.25,18.25,-20.75,-34.0,44.75,26.75,3.0,46.75,9
-33.75,-8.0,-17.5,-13.0,25.5,28.0,11.5,50.5,9
-93.25,-13.25,-9.25,-15.0,22.25,35.5,25.5,40.5,9
-155.0,-46.0,-13.25,-12.25,26.75,40.25,29.5,63.25,9
-193.75,-58.75,-3.75,-1.75,34.0,36.5,38.0,64.5,9
-203.75,-31.25,9.0,6.25,55.25,31.5,55.75,67.25,9
-211.0,-42.25,12.0,6.25,69.75,57.5,52.75,73.5,9
-193.25,-44.75,10.25,12.5,61.0,54.75,55.75,80.5,9
-167.25,-61.75,-2.5,4.25,57.25,63.0,60.75,92.5,9
-125.75,-58.75,-3.5,-1.5,61.75,77.75,64.5,94.25,9
78.75,-22.5,-3.75,16.0,78.5,71.5,74.5,105.25,9
271.75,4.0,-3.25,14.0,80.0,67.75,79.25,100.25,9
340.25,40.75,1.25,15.25,76.25,68.0,82.0,102.5,9
388.0,64.5,10.0,16.75,58.75,80.5,83.25,99.5,9
371.5,91.5,15.5,13.0,35.5,71.0,83.5,88.5,9
329.75,117.75,18.75,15.75,31.5,57.0,75.25,100.5,9
273.25,112.25,23.75,16.75,26.5,55.25,75.25,93.75,9
186.25,102.75,23.25,26.0,28.25,61.0,80.75,95.0,9
96.75,100.0,25.5,21.75,30.0,53.0,79.0,105.0,9
-2.25,65.0,20.0,23.25,38.0,50.0,78.5,99.25,9
-161.0,53.25,15.0,25.0,38.5,67.75,83.0,96.5,9
-276.25,63.0,20.75,19.5,26.5,53.0,71.0,86.0,9
-252.75,74.75,7.5,12.5,25.0,43.75,56.5,75.75,9
-181.0,70.75,12.0,3.5,26.25,34.25,55.0,75.75,9
-76.5,69.0,11.0,4.0,24.75,34.5,51.75,68.0,9
18.75,69.75,12.5,10.75,28.25,51.75,51.5,65.0,9
73.0,41.0,13.0,11.75,15.0,46.75,40.5,46.0,9
